监管文件编号,主题,标题,发文字号,文件来源,正文状态,立法依据,条款引用,备注,子主题
RFN-b6f2e3de87f56668,T1销售行为与消费者保护,中国银保监会办公厅关于落实保险公司主体责任 加强保险销售人员管理的通知,银保监办发[2020]41号,nfra,完整,中国银保监会办公厅关于加强保险公司中介渠道业务管理的通知(规范性文件),中华人民共和国保险法第一百一十六条; 中华人民共和国保险法第一百三十一条,条级引用2条/文件级引用2条/自身条款0条/最高层级依据规范性文件,S3银邮渠道
RFN-78e7878746afaafd,T1销售行为与消费者保护,中国银保监会办公厅关于切实加强保险专业中介机构从业人员管理的通知,银保监办发[2020]42号,nfra,完整,中华人民共和国保险法(法律),中华人民共和国保险法第一百三十一条; 保险公估人监管规定第三十一条,条级引用2条/文件级引用2条/自身条款0条/最高层级依据法律,S3银邮渠道
RFN-cf9bf8df3fefb087,T1销售行为与消费者保护,银行业保险业消费投诉处理管理办法,中国银行保险监督管理委员会令[2020]3号,nfra,完整,中华人民共和国银行业监督管理法(法律); 中华人民共和国保险法(法律),,条级引用0条/文件级引用6条/自身条款2条/最高层级依据法律,S6投诉
RFN-7684dfbe8a46b362,T1销售行为与消费者保护,中国银保监会办公厅关于进一步规范保险机构互联网人身保险业务有关事项的通知,银保监办发[2021]108号,nfra,完整,中华人民共和国保险法(法律),,条级引用0条/文件级引用4条/自身条款0条/最高层级依据法律,S3银邮渠道
RFN-aa19f65da57e5ec1,T1销售行为与消费者保护,关于深入开展人身保险市场乱象治理专项工作的通知,银保监办便函〔2021〕477号,supp,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S2销售误导
RFN-59b9c4fc9ad76efd,T1销售行为与消费者保护,中国银保监会办公厅关于明确保险中介市场对外开放有关措施的通知,银保监办发[2021]128号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用3条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-fbdaa69875495dfe,T1销售行为与消费者保护,中国银保监会关于印发银行保险机构消费者权益保护监管评价办法的通知,银保监发〔2021〕24号,nfra,完整,中华人民共和国银行业监督管理法(法律),,条级引用0条/文件级引用6条/自身条款0条/最高层级依据法律,S5消保/信息
RFN-083a6756e550da1d,T1销售行为与消费者保护,中国银保监会关于服务煤电行业正常生产和商品市场有序流通 保障经济平稳运行有关事项的通知,银保监发[2021]42号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,X其他
RFN-49d70defed73b858,T1销售行为与消费者保护,中国银保监会办公厅关于2021年进一步推动小微企业金融服务高质量发展的通知,银保监办发[2021]49号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,X其他
RFN-51a114e2f638b70b,T1销售行为与消费者保护,中国银保监会办公厅关于印发保险中介机构信息化工作监管办法的通知,银保监办发[2021]3号,nfra,完整,中华人民共和国保险法(法律),保险代理人监管规定第七条; 保险代理人监管规定第十二条; 保险代理人监管规定第十八条; 保险经纪人监管规定第七条; 保险经纪人监管规定第十六条; 保险公估人监管规定第十六条; 保险公估人监管规定第十八条,条级引用7条/文件级引用7条/自身条款1条/最高层级依据法律,S1人员/中介
RFN-4f8ff885f0a76d12,T1销售行为与消费者保护,中国银保监会关于印发人身保险公司监管主体职责改革方案的通知,银保监发[2021]1号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S5消保/信息
RFN-cf37a691dab2c2a0,T1销售行为与消费者保护,中国银保监会关于清理规章规范性文件的决定,中国银行保险监督管理委员会令[2021]7号,nfra,完整,保险专业代理机构监管规定(部门规章); 保险销售从业人员监管办法(部门规章); “十二五期间”深化医药卫生体制改革规划暨实施方案(规范性文件),个人定期存单质押贷款办法第一条; 单位定期存单质押贷款管理规定第一条; 保险资金间接投资基础设施项目管理办法第一条; 商业银行互联网贷款管理暂行办法第二十三条; 中国保监会关于印发<保险资金委托投资管理暂行办法>的通知第一条; 银行业金融机构与融资担保公司业务合作指引第一条; 中国银保监会办公厅关于加强商业保理企业监督管理的通知第一条,条级引用7条/文件级引用63条/自身条款0条/最高层级依据部门规章,S5消保/信息
RFN-c6efe53cbf661297,T1销售行为与消费者保护,中国银保监会办公厅关于开展银行保险机构侵害个人信息权益乱象专项整治工作的通知,银保监办发[2022]80号,supp,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S2销售误导
RFN-d9a725afed1a974b,T1销售行为与消费者保护,中国银保监会 国家互联网信息办公室工业和信息化部 市场监管总局关于规范“银行”字样使用有关事项的通知,银保监规[2022]18号,nfra,完整,中华人民共和国商业银行法(法律); 反不正当竞争法(法律),中华人民共和国商业银行法第七十九条,条级引用1条/文件级引用4条/自身条款0条/最高层级依据法律,S3银邮渠道
RFN-24af2c0209f2a1ef,T1销售行为与消费者保护,中国银保监会办公厅关于进一步加强消费投诉处理工作的通知,银保监办发〔2022〕90号,supp,完整,银行业保险业消费投诉处理管理办法(部门规章),,条级引用0条/文件级引用1条/自身条款0条/最高层级依据部门规章,S3银邮渠道
RFN-181834bcb8e6bdfc,T1销售行为与消费者保护,关于规范银行代理渠道保险产品的通知,2023年,supp,无正文,无显式立法依据,,无正文，未参与V2抽取,
RFN-f1bcee8fe632f6b7,T1销售行为与消费者保护,关于银保产品管理有关事宜的通知,2023年,supp,无正文,无显式立法依据,,无正文，未参与V2抽取,
RFN-946238a80cf9fab2,T1销售行为与消费者保护,保险销售行为管理办法,国家金融监督管理总局令[2023]2号,nfra,完整,中华人民共和国保险法(法律),,条级引用0条/文件级引用2条/自身条款2条/最高层级依据法律,S2销售误导
RFN-8c54a4db80812c50,T1销售行为与消费者保护,关于强化管理促进人身险业务平稳健康发展的通知,人身险部函【2023】428号,supp,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S2销售误导
RFN-a0b5d56bfe2b37fc,T1销售行为与消费者保护,关于规范人身保险公司银行代理渠道业务有关事项的通知,金办便函〔2024〕66号,supp,完整,保险法(法律),,条级引用0条/文件级引用1条/自身条款0条/最高层级依据法律,S3银邮渠道
RFN-9241d7927ce170a6,T1销售行为与消费者保护,国家金融监督管理总局关于商业银行代理保险业务有关事项的通知,金规[2024]8号,nfra,完整,无显式立法依据,中国银保监会办公厅关于印发商业银行代理保险业务管理办法的通知第三十九条第二款,条级引用1条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S3银邮渠道
RFN-b879cf95ce425985,T1销售行为与消费者保护,国家金融监督管理总局关于推进普惠保险高质量发展的指导意见,金发[2024]13号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S5消保/信息
RFN-28e4deb64642fdb6,T1销售行为与消费者保护,国家金融监督管理总局办公厅关于进一步加强金融机构营销行为管理的通知,金办发〔2025〕63号,supp,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S7适当性/新行为
RFN-c9e5cb26b9b26f14,T1销售行为与消费者保护,国家金融监督管理总局关于推动深化人身保险行业个人营销体制改革的通知,金规[2025]13号,nfra,完整,国务院关于加强监管防范风险推动保险业高质量发展的若干意见(规范性文件),,条级引用0条/文件级引用2条/自身条款0条/最高层级依据规范性文件,S1人员/中介
RFN-38304c4090cfd1fa,T1销售行为与消费者保护,国家金融监督管理总局关于印发《金融机构消费者权益保护监管评价办法》的通知,金规〔2025〕20号,nfra,完整,中华人民共和国银行业监督管理法(法律),,条级引用0条/文件级引用5条/自身条款0条/最高层级依据法律,S5消保/信息
RFN-62d36d708fef3329,T1销售行为与消费者保护,金融机构产品适当性管理办法,国家金融监督管理总局令[2025]7号,nfra,完整,中华人民共和国银行业监督管理法(法律),,条级引用0条/文件级引用4条/自身条款3条/最高层级依据法律,S7适当性/新行为
RFN-ddf8280065cda015,T1销售行为与消费者保护,中国银保监会办公厅关于推广人身保险电子化回访工作的通知,,supp,完整,中华人民共和国保险法(法律),,条级引用0条/文件级引用1条/自身条款0条/最高层级依据法律,S4互联网/电话
RFN-28419373d82254db,T1销售行为与消费者保护,人身保险业务基本服务规定,中国保险监督管理委员会令2010年第4号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S5消保/信息
RFN-c376b40dc174f080,T1销售行为与消费者保护,中华人民共和国消费者权益保护法实施条例,中华人民共和国国务院令第778号,gov,完整,中华人民共和国消费者权益保护法(法律); 中华人民共和国广告法(法律); 中华人民共和国治安管理处罚法(法律); 中华人民共和国行政处罚法(法律),,条级引用0条/文件级引用4条/自身条款3条/最高层级依据法律,S5消保/信息
RFN-e7f16ef940e67852,T1销售行为与消费者保护,银行保险机构消费者权益保护管理办法,中国银行保险监督管理委员会令2022年第9号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S3银邮渠道
RFN-b1da8f220ff6beb8,T1销售行为与消费者保护,保险消费投诉处理管理办法,保监会令〔2013〕8号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S6投诉
RFN-79dc56c0dec3a960,T1销售行为与消费者保护,中国银保监会关于进一步加强金融服务民营企业有关工作的通知,银保监发〔2019〕8号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,X其他
RFN-abe0b8e7f6398399,T1销售行为与消费者保护,关于人身保险业务有关问题的通知（已废止）,保监发[1999]15号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S5消保/信息
RFN-955e2d85ba32511d,T1销售行为与消费者保护,保险公估机构管理规定 ,保监会令〔2001〕3号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-cbab6f767d0dd52e,T1销售行为与消费者保护,保险营销员管理规定,保监会令〔2006〕3号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-7d50757a099c2c05,T1销售行为与消费者保护,保险经纪从业人员、保险公估从业人员监管办法,保监会令〔2013〕3号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-f3e4a7de6069eb9a,T1销售行为与消费者保护,国家金融监督管理总局关于印发《商业银行代理销售业务管理办法》的通知,金规〔2025〕6号,nfra,完整,中华人民共和国银行业监督管理法(法律),,条级引用0条/文件级引用7条/自身条款1条/最高层级依据法律,X代销总纲
RFN-f58d1c0e8ee56049,T1销售行为与消费者保护,金融产品网络营销管理办法,人民银行等八部门公告〔2026〕第9号,gov,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,X网络营销总纲
RFN-591edf15c13b0112,T1销售行为与消费者保护,关于严禁违规开展学平险业务的通知（已失效）,保监发[2000]147号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,P7条款与标准
RFN-d2c2f7ab8d9f3dd3,T1销售行为与消费者保护,关于规范“中小学生平安保险”代办业务有关问题的通知（已废止）,保监发[1999]118号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,P1产品审批备案
RFN-0342cae3577bd20a,T1销售行为与消费者保护,保险产品适当性管理自律规范,中保协 2026-03-27,supp,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,P1产品审批备案
RFN-e146828784b8125c,T1销售行为与消费者保护,关于印发《保险监管人员行为准则》和《保险从业人员行为准则》的通知,保监发〔2009〕24号,nfra,完整,中华人民共和国公务员法(法律); 中华人民共和国保险法(法律),,条级引用0条/文件级引用4条/自身条款0条/最高层级依据法律,G4董事高管
RFN-3a6d19f09a88aed2,T1销售行为与消费者保护,国家金融监督管理总局关于进一步提升金融服务适老化水平的指导意见,金发[2024]34号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,D2养老金融
RFN-9e69f7092e7568b9,T1销售行为与消费者保护,中国保监会关于印发《人身保险客户信息真实性管理暂行办法》的通知,保监发〔2013〕82号,nfra,完整,中华人民共和国保险法(法律); 保险法(法律),中华人民共和国保险法第一百七十二条; 中华人民共和国保险法第一百七十三条; 保险法第一百七十二条; 保险法第一百七十三条,条级引用4条/文件级引用5条/自身条款0条/最高层级依据法律,U未分类
RFN-5cd130f376ba34d9,T1销售行为与消费者保护,关于落实《保险销售行为可回溯管理暂行办法》有关事项的通知,保监消保〔2017〕265号,supp,完整,保险销售行为可回溯管理暂行办法(部门规章),办法第六条×2; 办法第七条,条级引用2条/文件级引用2条/自身条款0条/最高层级依据部门规章,补A·可回溯落实
RFN-600b25ea909a0d88,T1销售行为与消费者保护,中国银监会办公厅关于商业银行开展代理销售基金和保险产品相关业务风险提示的通知,银监办发〔2008〕274号,supp,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,补B·爬虫库
RFN-a3cd627cf001d29f,T1销售行为与消费者保护,中国银保监会2022年规章立法工作计划,N/A,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S3银邮渠道
RFN-dcff50c66c932098,T1销售行为与消费者保护,关于规范团体保险经营行为有关问题的通知,保监发〔2005〕62号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-30db7bb8ad56799b,T1销售行为与消费者保护,关于严禁协助境外保险公司推销地下保单有关问题的通知,保监发〔2004〕29号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-cf85f0dc63c22f2f,T1销售行为与消费者保护,关于在兼业代理网点销售人身保险新型产品的批复,保监函〔2002〕119号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-0cfbb1fed4a02f5f,T1销售行为与消费者保护,关于调整保险代理从业人员基本资格考试有关事项的通知（已失效）,保监厅发〔2004〕50号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用6条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-6556e0d430a80454,T1销售行为与消费者保护,关于保险公司代理销售企业年金有关问题的函,保监中介〔2005〕1035号,nfra,摘要,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-d54da4b489cc13c6,T1销售行为与消费者保护,关于保险公司员工非正常购买保险行为定性问题的复函,保监厅函〔2005〕199号,nfra,完整,保险法(法律),,条级引用0条/文件级引用3条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-979909a99a339372,T1销售行为与消费者保护,关于银行类保险兼业代理机构行政许可有关事项的通知,保监中介〔2016〕44号,nfra,完整,中国保监会关于深化保险中介市场改革的意见(规范性文件); 中华人民共和国保险法(法律),,条级引用0条/文件级引用2条/自身条款1条/最高层级依据规范性文件,S1人员/中介
RFN-4e3131787e5a2f80,T1销售行为与消费者保护,中国保监会关于保险业履行社会责任的指导意见,保监发〔2015〕123号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,P1产品审批备案
RFN-b589e0692561ef42,T1销售行为与消费者保护,中国保监会 国家发展改革委关于印发《中国保险业信用体系建设规划（2015－2020年）》的通知,保监发〔2015〕16号,nfra,完整,社会信用体系建设规划纲要（2014－2020年）(其他),,条级引用0条/文件级引用6条/自身条款0条/最高层级依据其他,P4精算与准备金
RFN-2c6a41afa6f23bff,T1销售行为与消费者保护,中国保监会 中国银监会关于进一步规范商业银行代理保险业务销售行为的通知,保监发〔2014〕3号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S3银邮渠道
RFN-28592205e5bf65d0,T1销售行为与消费者保护,关于加快天津滨海新区保险改革试验区创新发展的意见,保监发〔2007〕110号,nfra,完整,国务院关于推进天津滨海新区开发开放有关问题的意见(规范性文件),,条级引用0条/文件级引用4条/自身条款0条/最高层级依据规范性文件,P1产品审批备案
RFN-06e6f7e1ded1d4ad,T1销售行为与消费者保护,关于进一步加强保险业诚信建设的通知（已废止）,保监发〔2005〕7号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,P1产品审批备案
RFN-f96b7b0074545099,T1销售行为与消费者保护,关于加强保险业宣传工作的通知（已失效）,保监发〔2002〕96号,nfra,完整,保险业对外宣传管理暂行规定(部门规章); 保险法(法律),,条级引用0条/文件级引用5条/自身条款0条/最高层级依据部门规章,P1产品审批备案
RFN-93cf24eecccf929b,T1销售行为与消费者保护,关于加强保险中介从业人员继续教育管理工作的通知（已废止）,保监发〔2005〕107号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用6条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-aa25448f04553219,T1销售行为与消费者保护,关于2005年下半年保险代理从业人员资格考试有关事项的通知,保监发〔2005〕46号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用7条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-75f5ada513870132,T1销售行为与消费者保护,中国银保监会办公厅关于深化银行业保险业“放管服”改革 优化营商环境的通知,银保监办发[2020]129号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S3银邮渠道
RFN-d87f91e80a21f732,T1销售行为与消费者保护,中国银保监会关于开展银行业保险业市场乱象整治“回头看”工作的通知,银保监发[2020]27号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-c52c03ee0ac9f135,T1销售行为与消费者保护,中国银保监会关于推动银行业和保险业高质量发展的指导意见,银保监发[2019]52号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S3银邮渠道
RFN-3678cb752c5eda74,T1销售行为与消费者保护,中国保监会关于印发《中国保监会关于加强保险消费风险提示工作的意见》的通知,保监发〔2017〕66号,nfra,完整,国务院办公厅关于加强金融消费者权益保护工作的指导意见(规范性文件),,条级引用0条/文件级引用2条/自身条款0条/最高层级依据规范性文件,G5内控合规
RFN-1424066b74b361a3,T1销售行为与消费者保护,关于全面推进保险纠纷诉讼与调解对接机制建设的意见,法〔2016〕374号,nfra,完整,中共中央关于全面推进依法治国若干重大问题的决定(规范性文件); 最高人民法院关于建立健全诉讼与非诉讼相衔接的矛盾纠纷解决机制的若干意见(规范性文件),,条级引用0条/文件级引用8条/自身条款0条/最高层级依据规范性文件,S1人员/中介
RFN-797de304b1174246,T1销售行为与消费者保护,中国保监会办公厅关于进一步加强保险业信访工作的指导意见,保监厅发〔2016〕24号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S3银邮渠道
RFN-84daea421e7dcede,T1销售行为与消费者保护,中国保监会关于修改《中国保监会关于严格规范非保险金融产品销售的通知》的通知,保监发〔2015〕100号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-eaba3583544d0cff,T1销售行为与消费者保护,中国保监会办公厅关于贯彻实施《中国保险业信用体系建设规划（2015-2020年）》的通知,保监厅发〔2015〕19号,nfra,完整,中国保险业信用体系建设规划（2015－2020年）(其他); 规划(规范性文件),,条级引用0条/文件级引用3条/自身条款0条/最高层级依据其他,S1人员/中介
RFN-f1d2465f3a63ec8c,T1销售行为与消费者保护,中国保监会关于禁止强制销售保险的紧急通知,保监消保〔2013〕634号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-3757cab1bacff89d,T1销售行为与消费者保护,关于支持汽车企业代理保险业务专业化经营有关事项的通知,保监发〔2012〕82号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用4条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-60747fe55af9f278,T1销售行为与消费者保护,关于贯彻依法经营依法监管原则切实维护投保人和被保险人权益的通知（已废止）,保监中介〔2012〕811号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-e00894a2b33837ec,T1销售行为与消费者保护,关于印发《商业银行代理保险业务监管指引》的通知,保监发〔2011〕10号,nfra,完整,中华人民共和国保险法(法律); 保险法(法律); 保险许可证管理办法(部门规章),,条级引用0条/文件级引用10条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-4f4747346d31e9d3,T1销售行为与消费者保护,中国银监会关于进一步加强商业银行代理保险业务合规销售与风险管理的通知,银监发[2010]90号,nfra,完整,中华人民共和国行政处罚法(法律),,条级引用0条/文件级引用4条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-4b0ca1af5924a05a,T1销售行为与消费者保护,关于废止部分保险中介规范性文件的通知,保监发〔2009〕128号,nfra,完整,立法法(法律),,条级引用0条/文件级引用3条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-935ddd95dd623e33,T1销售行为与消费者保护,保险公估机构监管规定,保监会令〔2001〕3号,nfra,完整,中华人民共和国保险法(法律); 中华人民共和国公司法(法律); 保险许可证管理办法(部门规章),公司法第一百四十七条,条级引用1条/文件级引用7条/自身条款3条/最高层级依据法律,S1人员/中介
RFN-6299b41ed313d187,T1销售行为与消费者保护,保险经纪机构监管规定,保监会令〔2004〕15号,nfra,完整,中华人民共和国保险法(法律); 保险法(法律); 公司法(法律); 保险许可证管理办法(部门规章),公司法第一百四十七条,条级引用1条/文件级引用7条/自身条款6条/最高层级依据法律,S1人员/中介
RFN-213ec1fa3be1cc65,T1销售行为与消费者保护,保险专业代理机构监管规定,保监会令〔2004〕14号,nfra,完整,中华人民共和国保险法(法律); 保险法(法律); 公司法(法律); 保险许可证管理办法(部门规章),公司法第一百四十七条; 保险法第一百六十六条,条级引用2条/文件级引用7条/自身条款6条/最高层级依据法律,S1人员/中介
RFN-0e6c350ab17d6826,T1销售行为与消费者保护,关于加强保险中介从业人员继续教育管理工作的通知（已废止）,保监发〔2009〕70号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-d6174ff6a464bc23,T1销售行为与消费者保护,关于做好新《保险法》宣传工作的通知（已失效）,保监厅发〔2009〕31号,nfra,完整,保险法(法律),,条级引用0条/文件级引用4条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-dfa1f1cbb084b933,T1销售行为与消费者保护,关于做好2009年保险消费者教育工作的通知（已失效）,保监厅发〔2009〕30号,nfra,完整,关于印发<加强保险消费者教育工作方案>的通知(规范性文件); 加强保险消费者教育工作方案(规范性文件),,条级引用0条/文件级引用2条/自身条款0条/最高层级依据规范性文件,S1人员/中介
RFN-0cf994eb737e99e3,T1销售行为与消费者保护,关于印发《加强保险消费者教育工作方案》的通知,保监发〔2008〕118号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-9f0d85aa746cbe1d,T1销售行为与消费者保护,关于实施农村保险营销员资格授予制度有关问题的通知（已废止）,保监发〔2006〕40号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用3条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-cd079bdcc667f2ad,T1销售行为与消费者保护,关于进一步做好突发事件的保险新闻宣传工作的通知,保监厅发〔2005〕104号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-618dc2b29e8a780c,T1销售行为与消费者保护,保险经纪机构管理规定（已废止）,保监会令[2001]5号,nfra,完整,中华人民共和国保险法(法律); 保险法(法律),资格证书第五十三条,条级引用1条/文件级引用12条/自身条款4条/最高层级依据法律,S1人员/中介
RFN-73a271f381feb48f,T1销售行为与消费者保护,关于加强航空意外保险规范管理的补充通知（已废止）,保监发〔2003〕23号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-832642ca77d43ed9,T1销售行为与消费者保护,关于印发《保险业对外宣传管理暂行规定》的通知（已废止）,保监发[1999]18号,nfra,完整,中华人民共和国保守国家秘密法(法律),,条级引用0条/文件级引用3条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-0b67e315153d21ba,T1销售行为与消费者保护,关于启用保险代理从业人员基本资格证书和展业证书的通知（已失效）,保监发〔2001〕135号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-ab5d72dded585bfd,T1销售行为与消费者保护,关于进一步落实保险营销员持证上岗制度的通知（已失效）,保监发〔2004〕49号,nfra,完整,保险法(法律),保险法第149条; 保险法第150条,条级引用2条/文件级引用6条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-5411f7dff8556566,T1销售行为与消费者保护,关于保险公司员工投资保险中介机构问题的批复,保监中介〔2004〕53号,nfra,摘要,公司法(法律),,条级引用0条/文件级引用3条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-fd82d44341772467,T1销售行为与消费者保护,关于严禁保险公司采取违规手段参与政府采购保险竞标的紧急通知（已废止）,保监发[1999]48号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-4a9205f71876954e,T1销售行为与消费者保护,关于印发《保险中介从业人员继续教育暂行办法》的通知,保监发〔2005〕41号,nfra,完整,中华人民共和国保险法(法律),,条级引用0条/文件级引用6条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-cffcb1587680188c,T1销售行为与消费者保护,关于开展保险合同纠纷处理机制试点工作的通知,保监厅发〔2005〕53号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-5b880a50f3d380a3,T1销售行为与消费者保护,中国银行业监督管理委员会关于香港和澳门银行内地分行从事代理保险业务的公告,N/A,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-85c3f92ede073430,T1销售行为与消费者保护,中国人民银行办公厅 保监会办公厅关于投保人与被保险人、受益人关系确认有关事项的通知(银办发〔2016〕270号),〔2016〕270号,pbc,摘要,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S3银邮渠道
