唯一键,监管文件编号,文件名称,发文字号,文件指纹,登记时间
保监发201310,RFN-7b83962c7eddc55d,关于加强和改进保险机构投资管理能力建设有关事项的通知,保监发〔2013〕10号,,2026-08-29 04:27:42
保监发201291,RFN-8d1c22b57e567cc6,关于保险资金投资有关金融产品的通知,保监发〔2012〕91号,,2026-08-29 04:27:42
保监发201282,RFN-3757cab1bacff89d,关于支持汽车企业代理保险业务专业化经营有关事项的通知,保监发〔2012〕82号,,2026-08-29 04:27:42
保监发201259,RFN-b5ae42d7f786b9cf,关于保险资金投资股权和不动产有关问题的通知,保监发〔2012〕59号,,2026-08-29 04:27:42
保监中介2012811,RFN-60747fe55af9f278,关于贯彻依法经营依法监管原则切实维护投保人和被保险人权益的通知（已废止）,保监中介〔2012〕811号,,2026-08-29 04:27:42
保监发201168,RFN-e7461206ed46d072,关于印发《保险公司信息系统安全管理指引（试行）》的通知,保监发〔2011〕68号,,2026-08-29 04:27:43
保监发201121,RFN-4c1603295100fce6,中国保险监督管理委员会、中国银行业监督管理委员会关于保险监督管理机构查询保险机构及相关单位和个人在金融机构账户有关问题的通知,保监发〔2011〕21号,,2026-08-29 04:27:43
保监发201115,RFN-8fdbd77cf70c2a36,关于印发《2011年保险业“小金库”专项治理工作实施方案》的通知,保监发〔2011〕15号,,2026-08-29 04:27:43
保监发201110,RFN-e00894a2b33837ec,关于印发《商业银行代理保险业务监管指引》的通知,保监发〔2011〕10号,,2026-08-29 04:27:43
银监发201090,RFN-4f4747346d31e9d3,中国银监会关于进一步加强商业银行代理保险业务合规销售与风险管理的通知,银监发[2010]90号,,2026-08-29 04:27:43
保监发201066,RFN-4f44d544d80ebe1b,关于调整保险资金投资政策有关问题的通知（已废止）,保监发〔2010〕66号,,2026-08-29 04:27:43
银发2010198,RFN-ceb12aa3ca8c3a6f,中国人民银行 中国银行业监督管理委员会 中国证券监督管理委员会 中国保险监督管理委员会关于全面推进农村金融产品和服务方式创新的指导意见,银发〔2010〕198号,,2026-08-29 04:27:43
保监发2009132,RFN-041a2d1a8851bad6,关于保险机构投资无担保企业债券有关事宜的通知,保监发〔2009〕132号,,2026-08-29 04:27:43
保监发2009128,RFN-4b0ca1af5924a05a,关于废止部分保险中介规范性文件的通知,保监发〔2009〕128号,,2026-08-29 04:27:43
保监发2009112,RFN-00ecff9dba1fd0f9,关于贯彻落实《保险公司中介业务违法行为处罚办法》有关事项的通知（已废止）,保监发〔2009〕112号,,2026-08-29 04:27:43
保监会令20013,RFN-935ddd95dd623e33,保险公估机构监管规定,保监会令〔2001〕3号,,2026-08-29 04:27:43
保监会令200415,RFN-6299b41ed313d187,保险经纪机构监管规定,保监会令〔2004〕15号,,2026-08-29 04:27:43
保监会令200414,RFN-213ec1fa3be1cc65,保险专业代理机构监管规定,保监会令〔2004〕14号,,2026-08-29 04:27:44
保监发200970,RFN-0e6c350ab17d6826,关于加强保险中介从业人员继续教育管理工作的通知（已废止）,保监发〔2009〕70号,,2026-08-29 04:27:44
保监厅发200939,RFN-aa06db05ffcc03bb,关于进一步做好保险业参与社会治安综合治理工作的通知（已废止）,保监厅发〔2009〕39号,,2026-08-29 04:27:44
保监厅发200931,RFN-d6174ff6a464bc23,关于做好新《保险法》宣传工作的通知（已失效）,保监厅发〔2009〕31号,,2026-08-29 04:27:44
保监厅发200930,RFN-dfa1f1cbb084b933,关于做好2009年保险消费者教育工作的通知（已失效）,保监厅发〔2009〕30号,,2026-08-29 04:27:44
保监发200943,RFN-2db149c6176e5ae6,关于保险资金投资基础设施债权投资计划的通知,保监发〔2009〕43号,,2026-08-29 04:27:44
保监发200942,RFN-c537e12b987a537e,关于增加保险机构债券投资品种的通知,保监发〔2009〕42号,,2026-08-29 04:27:44
保监厅发200922,RFN-b878d6635ecfc0d8,关于印发《保险公司第二次经济普查工作方案》的通知（已失效）,保监厅发〔2009〕22号,,2026-08-29 04:27:44
保监统信2009222,RFN-d440356514113d3d,关于报送保险机构和高管人员类行政许可申请事项电子化文档的通知,保监统信〔2009〕222号,,2026-08-29 04:27:44
保监发200916,RFN-585c75a95efbf8c9,关于2009年保险公司合规工作要求的通知,保监发〔2009〕16号,,2026-08-29 04:27:44
保监发2008118,RFN-0cf994eb737e99e3,关于印发《加强保险消费者教育工作方案》的通知,保监发〔2008〕118号,,2026-08-29 04:27:44
保监发200891,RFN-a65927d08c1a124a,中国保险监督管理委员会 国务院第二次全国经济普查领导小组办公室 关于印发《第二次保险业经济普查实施方案》的通知（已失效）,保监发〔2008〕91号,,2026-08-29 04:27:45
国经普办字200816,RFN-950d630b983fa780,关于开展第二次保险业经济普查的通知（已失效）,国经普办字〔2008〕16号,,2026-08-29 04:27:45
保监发200860,RFN-205b43b21e70392c,关于保险业参与基本医疗保障管理工作有关问题的通知,保监发〔2008〕60号,,2026-08-29 04:27:45
保监厅发200832,RFN-ddef688f33867b98,关于印发《天津滨海新区补充养老保险试点实施细则》的通知,保监厅发〔2008〕32号,,2026-08-29 04:27:45
保监发200827,RFN-55376202e4b80fd1,关于印发《保险公司董事、监事及高级管理人员培训管理暂行办法》的通知,保监发〔2008〕27号,,2026-08-29 04:27:45
保监机构2008384,RFN-f25d38a46894ac7c,关于明确保险公司法人机构直接经营保险业务行为监管有关问题的通知,保监机构〔2008〕384号,,2026-08-29 04:27:45
保监发2007129,RFN-24d0b25dd97f339c,关于发布《保险术语（修订版）》行业标准的通知（已失效）,保监发〔2007〕129号,,2026-08-29 04:27:45
保监发2007113,RFN-75acf6c38b7b62b6,关于开展保险公司治理结构专项自查活动的通知（已废止）,保监发〔2007〕113号,,2026-08-29 04:27:45
保监发200741,RFN-2ed7de7b013f5d42,关于修订保险外币统计制度有关内容的通知,保监发〔2007〕41号,,2026-08-29 04:27:45
保监发200730,RFN-6a0d0d49ed5659f6,关于保险业对不正当交易行为自查自纠工作进行检查评估的通知（已失效）,保监发〔2007〕30号,,2026-08-29 04:27:45
保监发2006130,RFN-d4e2caad90cfed0b,关于印发保险外币统计制度的通知,保监发〔2006〕130号,,2026-08-29 04:27:46
保监发2006126,RFN-97581ae487f77a94,关于印发《保险外币统计币种及折算汇率管理办法》的通知,保监发〔2006〕126号,,2026-08-29 04:27:46
保监发2006125,RFN-3271031a208f2244,关于印发《中国保险业发展“十一五”规划信息化重点专项规划》的通知,保监发〔2006〕125号,,2026-08-29 04:27:46
保监发2006121,RFN-3595eb2dd4cfdfde,关于发布《保险术语》行业标准的通知（已失效）,保监发〔2006〕121号,,2026-08-29 04:27:46
保监财会20061142,RFN-9d59496ff1f52318,关于保险业新会计准则培训有关事项的通知（已失效）,保监财会〔2006〕1142号,,2026-08-29 04:27:46
保监发200698,RFN-b113c8287c005c98,关于保险机构投资商业银行股权的通知（已废止）,保监发[2006]98号,,2026-08-29 04:27:46
保监发200664,RFN-bfe9fc4e05784a46,关于印发《关于保险业依法查处商业贿赂案件的实施意见》的通知（已废止）,保监发〔2006〕64号,,2026-08-29 04:27:46
MD5:a77c9341b12d977d00160eb5ee966bbb,RFN-38217405ecdde580,关于报送保险业商业贿赂案件查处情况的通知（已废止）,N/A,,2026-08-29 04:27:46
保监发200644,RFN-bafb544c4ac586e1,中国保险监督管理委员会、中央社会治安综合治理委员会办公室关于保险业参与平安建设的意见,保监发〔2006〕44号,,2026-08-29 04:27:46
保监发200640,RFN-9f0d85aa746cbe1d,关于实施农村保险营销员资格授予制度有关问题的通知（已废止）,保监发〔2006〕40号,,2026-08-29 04:27:46
保监厅发200622,RFN-aa5bd3e45957da3f,关于开展对保险业资本构成等情况调查的通知（已失效）,保监厅发〔2006〕22号,,2026-08-29 04:27:47
MD5:9c2aab4090e8fef75aaa4a28f8578c5d,RFN-490663777515ebff,保险资金间接投资基础设施项目试点管理办法,N/A,,2026-08-29 04:27:47
保监厅发2005104,RFN-cd079bdcc667f2ad,关于进一步做好突发事件的保险新闻宣传工作的通知,保监厅发〔2005〕104号,,2026-08-29 04:27:47
保监发改2005272,RFN-b99f3e470b7d541f,关于印发《保险公司开业验收指引（试行）》的通知（已废止）,保监发改〔2005〕272号,,2026-08-29 04:27:47
保监发200575,RFN-27c0b4480ee9d8e4,关于防范保险业非法集资活动有关工作的通知,保监发〔2005〕75号,,2026-08-29 04:27:47
保监发200572,RFN-78ca09639f806539,关于印发《保险机构投资者债券投资管理暂行办法》的通知（已废止）,保监发〔2005〕72号,,2026-08-29 04:27:47
保监发200556,RFN-0f121d512d11454f,关于加强保险统计数据质量管理的通知（已失效）,保监发〔2005〕56号,,2026-08-29 04:27:47
保监会令20015,RFN-618dc2b29e8a780c,保险经纪机构管理规定（已废止）,保监会令[2001]5号,,2026-08-29 04:27:47
保监发2004155,RFN-ed0821042af9e6c2,关于印发《保险公司偿付能力报告编报规则——问题解答第2号：次级债、可转换债券、股票和境外外汇投资资产》的通知,保监发〔2004〕155号,,2026-08-29 04:27:47
保监发200323,RFN-73a271f381feb48f,关于加强航空意外保险规范管理的补充通知（已废止）,保监发〔2003〕23号,,2026-08-29 04:27:48
保监发20016,RFN-e1d0f34066dc3646,关于保险公司资本保证金存放商业银行有关规定的通知,保监发[2001]6号,,2026-08-29 04:27:48
保监发1999235,RFN-796af192693bc064,关于保险公司委托会计师事务所开展审计业务有关问题的通知,保监发[1999]235号,,2026-08-29 04:27:48
保监发200452,RFN-b9383b393cc34ff5,关于严厉打击境外保险机构在境内非法保险活动及保险诈骗活动的通知（已废止）,保监发〔2004〕52号,,2026-08-29 04:27:48
保监发200432,RFN-1d04d79e9ca9f279,关于就商业保险合同监管主体问题做好有关协调工作的通知,保监发〔2004〕32号,,2026-08-29 04:27:48
保监发2003117,RFN-ff3110478f7c266f,关于进一步加强和改进保险业突发事件新闻报道工作的通知（已废止）,保监发〔2003〕117号,,2026-08-29 04:27:48
保监发2003116,RFN-92f92ee8a480d2c6,关于印发《保险业重大上访事件处理办法》的通知（已废止）,保监发〔2003〕116号,,2026-08-29 04:27:48
保监发2001104,RFN-17042d95ee5b3a4e,关于印发《中国保险监督管理委员会现场检查工作规程》的通知,保监发[2001]104号,,2026-08-29 04:27:48
保监发200174,RFN-ab0da5bfe3db7779,关于处理有关保险合同纠纷问题的意见,保监发[2001]74号,,2026-08-29 04:27:48
保监发1999147,RFN-e6bde4bd4b9b74a5,关于在保险条款中设立仲裁条款的通知（已废止）,保监发[1999]147号,,2026-08-29 04:27:49
保监发199918,RFN-832642ca77d43ed9,关于印发《保险业对外宣传管理暂行规定》的通知（已废止）,保监发[1999]18号,,2026-08-29 04:27:49
保监发2001161,RFN-00181c1a550be989,关于各保险公司要加强对保险代理机构设置远程出单点和委托出单管理的通知（已废止）,保监发〔2001〕161号,,2026-08-29 04:27:49
保监发2001135,RFN-0b67e315153d21ba,关于启用保险代理从业人员基本资格证书和展业证书的通知（已失效）,保监发〔2001〕135号,,2026-08-29 04:27:49
保监发2004156,RFN-3e11a9f1461b8973,关于保险公司、保险资产管理公司投资保险公司次级定期债务的通知（已废止）,保监发〔2004〕156号,,2026-08-29 04:27:49
保监厅发200485,RFN-882e866449a723bd,关于外资保险公司在华分公司开立证券账户有关问题的通知,保监厅发〔2004〕85号,,2026-08-29 04:27:49
保监发200494,RFN-04631cd5896472e2,关于保险公司投资可转换公司债券有关事项的通知（已废止）,保监发〔2004〕94号,,2026-08-29 04:27:49
保监发200423,RFN-d320bd69e72d49ab,关于保险公司投资银行次级定期债务有关事项的通知（已废止）,保监发〔2004〕23号,,2026-08-29 04:27:49
保监发200391,RFN-93edca63e3171e89,关于保险公司投资中央银行票据的通知（已废止）,保监发〔2003〕91号,,2026-08-29 04:27:49
保监发200449,RFN-ab5d72dded585bfd,关于进一步落实保险营销员持证上岗制度的通知（已失效）,保监发〔2004〕49号,,2026-08-29 04:27:49
保监中介200453,RFN-5411f7dff8556566,关于保险公司员工投资保险中介机构问题的批复,保监中介〔2004〕53号,,2026-08-29 04:27:50
保监发2002110,RFN-01c98ce91fa76f9c,关于严禁保险公司以大额协议存款出质为他人提供担保的通知（已废止）,保监发〔2002〕110号,,2026-08-29 04:27:50
保监发200185,RFN-bcf6a94098450808,关于允许保险公司购买电信通讯类企业债券的通知（已废止）,保监发[2001]85号,,2026-08-29 04:27:50
保监发200090,RFN-e42e3cf5ecbe4d9e,关于加强保险公司对持有上市公司股份和法人股集中管理的通知关于加强保险公司对持有上市公司股份和法人股集中管理的通知（已废止）,保监发[2000]90号,,2026-08-29 04:27:50
保监厅函2004155,RFN-4c9bf69d7d425799,关于保险公司高级管理人员任职资格管理有关问题的复函,保监厅函〔2004〕155号,,2026-08-29 04:27:50
保监发200421,RFN-6426ad077b34a3ca,关于明确外国保险机构驻华代表机构申请材料报送程序的通知,保监发〔2004〕21号,,2026-08-29 04:27:50
保监办函2003118,RFN-a6e37a016be69c55,关于对保险公司有关责任人予以处罚相关问题的复函,保监办函〔2003〕118号,,2026-08-29 04:27:50
保监发2001126,RFN-25ea1d07ae1b63c1,关于规范中资保险公司吸收外资参股有关事项的通知（已废止）,保监发〔2001〕126号,,2026-08-29 04:27:50
保监办发20003,RFN-d52050b6c6e05e6b,关于规范保险机构向保监会行文的通知（已废止）,保监办发[2000]3号,,2026-08-29 04:27:50
保监发1999275,RFN-100c5013e9342ab0,关于重申严禁保险公司支付“无赔款退费”的通知（已废止）,保监发[1999]275号,,2026-08-29 04:27:51
保监发1999239,RFN-3b753562f1947ff9,关于调整储金性保险业务储金率的通知（已废止）,保监发[1999]239号,,2026-08-29 04:27:51
保监发199948,RFN-fd82d44341772467,关于严禁保险公司采取违规手段参与政府采购保险竞标的紧急通知（已废止）,保监发[1999]48号,,2026-08-29 04:27:51
保监厅函2005216,RFN-6eeed0a021f16641,关于提前报送2005年保险公司主要指标快报的通知,保监厅函〔2005〕216号,,2026-08-29 04:27:51
保监发200590,RFN-165b134a80676190,关于开展保险资金托管工作的通知（已废止）,保监发〔2005〕90号,,2026-08-29 04:27:51
保监发200577,RFN-f79cca682c61c207,关于印发《保险外汇资金境外运用管理暂行办法实施细则》的通知（已废止）,保监发〔2005〕77号,,2026-08-29 04:27:51
保监厅发2005117,RFN-97512733c733dbc0,关于做好保险业国际收支平衡表和国际投资头寸表编制准备工作的通知（已失效）,保监厅发〔2005〕117号,,2026-08-29 04:27:51
保监厅发2005114,RFN-7d624c238dda0552,关于保险业突发事件应急处置工作有关问题的通知（已废止）,保监厅发〔2005〕114号,,2026-08-29 04:27:51
保监厅函2005152,RFN-0bd05ec945959c93,关于保险业参与新型农村合作医疗情况的函,保监厅函〔2005〕152号,,2026-08-29 04:27:51
保监发200555,RFN-081ecf9726662d05,关于保险外汇资金投资境外股票有关问题的通知（已废止）,保监发〔2005〕55号,,2026-08-29 04:27:52
保监发200541,RFN-4a9205f71876954e,关于印发《保险中介从业人员继续教育暂行办法》的通知,保监发〔2005〕41号,,2026-08-29 04:27:52
保监厅发200553,RFN-cffcb1587680188c,关于开展保险合同纠纷处理机制试点工作的通知,保监厅发〔2005〕53号,,2026-08-29 04:27:52
保监法规2005318,RFN-8e37d9471a591f1d,关于违规受处罚的保险公司申请设立营销服务部有关问题的批复,保监法规〔2005〕318号,,2026-08-29 04:27:52
保监厅发200545,RFN-3cfb650d9582deea,关于保险公司在设有特区、计划单列市的省份展业有关问题的通知（已废止）,保监厅发〔2005〕45号,,2026-08-29 04:27:52
保监厅函200524,RFN-759baacb49543829,关于报送保险信息系统基本情况及安全状况等有关情况的函,保监厅函〔2005〕24号,,2026-08-29 04:27:52
保监厅函20054,RFN-35e613919ce6d52f,关于北京保险业经济普查中涉及保险专业中介机构有关问题的复函,保监厅函〔2005〕4号,,2026-08-29 04:27:52
保监发2004137,RFN-ed1f65fb07bac8ea,关于印发《保险机构开业信息化建设验收指引》的通知（已废止）,保监发[2004]137号,,2026-08-29 04:27:52
MD5:6a8f2dcd4d8ffafe7bac582f5bd2fa50,RFN-5b880a50f3d380a3,中国银行业监督管理委员会关于香港和澳门银行内地分行从事代理保险业务的公告,N/A,,2026-08-29 04:27:52
中国人民银行令2005第1,RFN-e346b01e2d21392b,中国人民银行 中国银行保险监督管理委员会关于保险公司发行无固定期限资本债券有关事项的通知（银发〔2022〕175号）,中国人民银行令〔2005〕第1号,,2026-08-29 04:27:53
2016270,RFN-85c3f92ede073430,中国人民银行办公厅 保监会办公厅关于投保人与被保险人、受益人关系确认有关事项的通知(银办发〔2016〕270号),〔2016〕270号,,2026-08-29 04:27:53
银发2015309,RFN-82d573787fb5915b,中国人民银行 中国银行业监督管理委员会 中国证券监督管理委员会 中国保险监督管理委员会 国家统计局关于印发《金融业企业划型标准规定》的通知（银发〔2015〕309号）,银发〔2015〕309号,,2026-08-29 04:27:53
银发2013289,RFN-3c6a6a09aa26c7cc,中国人民银行 工业和信息化部 中国银行业监督管理委员会 中国证券监督管理委员会 中国保险监督管理委员会关于防范比特币风险的通知（银发〔2013〕289号）,银发〔2013〕289号,,2026-08-29 04:27:53
