监管文件编号,主题,文件名,发文字号,匹配源,决策,置信度,A强信号关键词,B销售代理关键词,C泛化关键词,X排除关键词,命中摘录,可用正文长度,全文状态
RFN-38b8fc384bf24f02,T2产品与精算制度,关于印发《关于促进人身保险产品创新工作的指导意见》的通知,保监发〔2006〕110号,nfra,INCLUDE,高,人身保险|人身保险公司|健康保险|养老保险,,,,[title]…关于印发《关于促进人身保险产品创新工作的指导意见》的通知 保监发〔2006〕110号。各保监局，各人身保险公司，中国保险行业协会：。为积…,4742,已提取-可全文
RFN-394e4243670a7862,T10数据治理与信息披露,关于发布《保险基础数据元目录》行业标准的通知,保监发〔2007〕130号,nfra,BOUNDARY,低,,,保险公司|保险资产管理,,[meta]…关于发布《保险基础数据元目录》行业标准的通知 保监发〔2007〕130号。各保监局，保监会机关各部门，各保险公司、保险资产管理公司、保险专业中介机构，国有保险公司监事会，中国保险行业协会，中国保险学会，全国金融标准化技术委…,866,已提取-可全文
RFN-398f3a9d2fdd49b0,T3资本与偿付能力监管,关于编报年度偿付能力报告有关事项的通知,保监发〔2008〕12号,nfra,INCLUDE,中,寿险,,,再保险公司,[body]…实务指南， 我会制定了《保险公司年度偿付能力报告编报的格式要求》， 并以虚拟公司和数字为例， 设计了产险公司和寿险公司的年度偿付能力报告模板（再保险公司参照产险公司年度报告模版）。 上述文件可从保监会网站财务监管专栏下的偿付…,1868,已提取-可全文
RFN-399edab2a63677f2,T1销售行为与消费者保护,关于规范人身保险业务有关问题的通知,保监发〔2005〕22号,nfra,INCLUDE,高,人身保险|人身保险公司|健康保险,,,,[title]…关于规范人身保险业务有关问题的通知 保监发〔2005〕22号。各人身保险公司：。近期消费者对个别人身保险条款反映的意见较多。经…,1237,已提取-可全文
RFN-39bf4d81800c4f30,T3资本与偿付能力监管,关于印发《中国第二代偿付能力监管制度体系建设规划》的通知,保监发[2012]24号,supp,INCLUDE,中,人身保险,,,,[body]…制度体系的建设工作。项俊波主席任组长，陈文辉副主席任副组长，中国保监会发展改革部、财务会计部、财产保险监管部、人身保险监管部、保险资金运用监管部、国际部、法规部、统计信息部、稽查局为成员部门，办公室设在财务会计部。 三、总体目标…,2683,已提取-可全文
RFN-39c0fc086c78c90d,T1销售行为与消费者保护,中国银保监会办公厅关于做好港澳台居民居住证使用工作有关事项的通知,银保监办发[2018]83号,nfra,BOUNDARY,低,,,保险公司|保险机构|保险资产管理|分支机构,金融资产|银行业金融机构,[body]…，各保监局，各政策性银行、大型银行、股份制银行，邮储银行，外资银行，金融资产管理公司，各保险集团（控股）公司、保险公司、保险资产管理公司、保险专业中介机构，其他会管金融机构： 2018年8月6日，国务院办公厅印发了《港澳台居民居…,1975,已提取-可全文
RFN-39e70f33653e140c,T7反洗钱与反恐怖融资,中国人民银行关于进一步加强金融机构反洗钱工作的通知(银发〔2008〕391号),银发〔2008〕391号,pbc,EXCLUDE,—,,,,,,182,已提取-缺正文
RFN-39f8c53608f7b422,T10数据治理与信息披露,关于加强保险中介机构信息化建设的通知,保监发〔2007〕28号,nfra,EXCLUDE,中,,,分支机构,保险中介机构|保险公估|保险经纪机构,[title]…关于加强保险中介机构信息化建设的通知 保监发〔2007〕28号。各保监局、各保险中介机构：。为了加强保险中介机构的信息化建设，提高…,3099,已提取-可全文
RFN-3a158f66a8d6e6b6,T6养老与健康保险专项,关于完善保险业参与新型农村合作医疗试点工作的若干指导意见（已废止）,保监发〔2005〕95号,nfra,INCLUDE,中,健康保险|寿险,,,财产保险公司,[meta]…关于完善保险业参与新型农村合作医疗试点工作的若干指导意见（已废止） 保监发〔2005〕95号。各保监局、各寿险公司、各健康保险公司、中华联合财产保险公司：。近年来，保险业与各级政府合作，利用自身的风险管理、理赔技术、服务…,6037,已提取-可全文
RFN-3a38f57a4a85e2c7,T10数据治理与信息披露,中国银保监会 上海市人民政府关于印发中国（上海）自由贸易试验区临港新片区科技保险创新引领区工作方案的通知,银保监发[2022]16号,nfra,EXCLUDE,中,,,保险产品|保险公司|保险机构|保险资产管理|保险资金|分支机构,保险公估|保险经纪公司|再保险公司|银行业,[body]…响力和行业引领性的外商独资、中外合资金融机构。在依法合规前提下，鼓励国际上具有科技风险管理先进技术的保险公司、再保险公司和具有科技保险服务成熟经验的保险经纪公司、保险公估公司在临港新片区内设立机构。（十）构建国际化科技保险交易体系…,12659,已提取-可全文
RFN-3a51b4bb7cd727a3,T5资金运用与资产负债管理,国家金融监督管理总局关于调整保险资金权益类资产监管比例有关事项的通知,金规[2025]12号,nfra,BOUNDARY,低,养老保险,,,,[body]…司投资单一创业投资基金的账面余额占该基金实缴规模的比例不得高于 30%。 四、 保险公司开展个人税收递延型商业养老保险业务， 其税延养老保险普通账户与其他保险产品普通账户合并计算投资比例， 不再单独计算投资比例。 五、 原比例监…,1953,已提取-可全文
RFN-3a618cecfaf7cb06,T5资金运用与资产负债管理,中国保监会关于印发《保险公司资金运用信息披露准则第3号：举牌上市公司股票》的通知,保监发〔2015〕121号,nfra,BOUNDARY,低,,,保险公司|保险资产管理|保险资金|偿付能力,,[title]…中国保监会关于印发《保险公司资金运用信息披露准则第3号：举牌上市公司股票》的通知 保监发〔2015〕121号。各保险集团（控股）公司、保险…,3817,已提取-可全文
RFN-3a6d19f09a88aed2,T1销售行为与消费者保护,国家金融监督管理总局关于进一步提升金融服务适老化水平的指导意见,金发[2024]34号,nfra,EXCLUDE,中,,,保单|保险产品|保险公司|保险理赔|保险资产管理,商业银行|金融资产|银行业|银行业金融机构,[meta]…进一步提升金融服务适老化水平的指导意见 各金融监管局，各政策性银行、大型银行、股份制银行、外资银行、直销银行、金融资产管理公司、金融资产投资公司、理财公司，各保险集团（控股）公司、保险公司、保险资产管理公司、养老金管理公司、保险…,9196,已提取-可全文
RFN-3b40544dd49885be,T10数据治理与信息披露,关于实施分类监管信息报送有关事宜的通知（寿险公司）（已失效）,保监寿险〔2008〕1566号,nfra,INCLUDE,高,人寿保险|人寿保险公司|人身保险|健康保险|健康险|养老保险公司|寿险,,,,[title]…关于实施分类监管信息报送有关事宜的通知（寿险公司）（已失效） 保监寿险〔2008〕1566号。各人寿保险公司、养老保险公司、健康保险公司：。为贯彻落实科学…,9113,已提取-可全文
RFN-3b753562f1947ff9,T2产品与精算制度,关于调整储金性保险业务储金率的通知（已废止）,保监发[1999]239号,nfra,EXCLUDE,中,,,保险公司,再保险公司,[meta]…关于调整储金性保险业务储金率的通知（已废止） 保监发[1999]239号。中国人民保险公司、中国再保险公司、中国太平洋保险公司、中国平安保险股份有限公司、华泰财产保险股份有限公司、天安保险股份有限公司、大众保险股份有…,909,已提取-可全文
RFN-3bb7e36bdf374796,T1销售行为与消费者保护,关于明确保险营销员佣金构成的通知,保监发〔2006〕48号,nfra,INCLUDE,中,,保险营销员,保险公司|保险营销,,[title]…关于明确保险营销员佣金构成的通知 保监发〔2006〕48号。各保监局、各保险公司：。《保险营销员管理规定》发布后，一些保险公司要…,372,已提取-可全文
RFN-3c08cf471cad2545,T4公司治理与股权关联交易,中国保监会关于进一步规范保险公司关联交易有关问题的通知,保监发〔2015〕36号,nfra,BOUNDARY,低,人身保险公司,,,再保险公司|商业银行|金融资产,[body]…公司对关联方的全部投资余额，合计不得超过保险公司上季末总资产的30%，并不得超过保险公司上季末净资产。 在计算人身保险公司和再保险公司总资产时，其高现金价值产品对应的资产按50%折算。 四、保险公司重大关联交易应由董事会批准的，董事…,3393,已提取-可全文
RFN-3c3859b938b9a995,T1销售行为与消费者保护,关于进一步规范保险专业中介机构激励行为的通知,保监中介〔2012〕202号,nfra,BOUNDARY,低,,,保险产品,,[body]…钩、 夸大公司上市带来的收益等手段， 诱导公众成为销售人员， 诱导销售人员、 客户购买与其真实保险需求不匹配的保险产品。  二、 各保监局要继续坚持“抓早抓小、 从重从快”的原则， 进一步规范辖区内保险专业中介机构激励行为， 重…,907,已提取-可全文
RFN-3c5d9ffc7cd58c79,T2产品与精算制度,关于人身保险伤残程度与保险金给付比例有关事项的通知,保监发〔2013〕46号,nfra,INCLUDE,高,人身保险|健康保险,,,,[title]…关于人身保险伤残程度与保险金给付比例有关事项的通知 保监发〔2013〕46号。各保险公司，中国保险行业协会：。为进一步规范…,1746,已提取-可全文
RFN-3c6a6a09aa26c7cc,T10数据治理与信息披露,中国人民银行 工业和信息化部 中国银行业监督管理委员会 中国证券监督管理委员会 中国保险监督管理委员会关于防范比特币风险的通知（银发〔2013〕289号）,银发〔2013〕289号,pbc,EXCLUDE,中,,,,银行业,[title]…中国人民银行 工业和信息化部 中国银行业监督管理委员会 中国证券监督管理委员会 中国保险监督管理委员会关于防范比特币风险的通知（银发〔2013〕289…,334,已提取-可全文
RFN-3ca8855e25c015c3,T5资金运用与资产负债管理,保险公司投资管理能力信息披露自律管理准则(试行),,,—,—,,,,,,0,未在五源cleaned收录
RFN-3cfb650d9582deea,T8机构准入与组织监管,关于保险公司在设有特区、计划单列市的省份展业有关问题的通知（已废止）,保监厅发〔2005〕45号,nfra,BOUNDARY,低,,,保险公司,,[title]…关于保险公司在设有特区、计划单列市的省份展业有关问题的通知（已废止） 保监厅发〔2005〕45号。各保监局，各保险公司：。…,685,已提取-可全文
RFN-3d1df4b836fe1532,T9风险处置与案件合规,关于在地市及以下地区建立保险业与地方治理商业贿赂领导机构沟通协调机制的通知,保监发〔2006〕84号,nfra,BOUNDARY,低,,,保险公司|保险机构,,[meta]…在地市及以下地区建立保险业与地方治理商业贿赂领导机构沟通协调机制的通知 保监发〔2006〕84号。各保监局，各保险公司：。为进一步推进基层保险业治理商业贿赂专项工作，根据《关于保险业开展治理商业贿赂专项工作的实施意见》（保监发〔…,1133,已提取-可全文
RFN-3d2e4e77b9696c64,T1销售行为与消费者保护,保险公估机构监管规定（2015年修订）,中国保险监督管理委员会令2009年第7号,nfra,EXCLUDE,中,,,保单|保险公司|保险条款|分支机构,保险中介机构|保险公估|保险经纪机构|商业银行,[title]…保险公估机构监管规定 中国保险监督管理委员会令2009年第7号。《保险公估机构监管规定》已经2009年9月18日中国保…,21125,已提取-可全文
RFN-3dccbb28eae7bc24,T4公司治理与股权关联交易,国家金融监督管理总局关于推动绿色保险高质量发展的指导意见,金规[2024]5号,nfra,EXCLUDE,中,,,保险产品|保险公司|保险理赔|保险资产管理|保险资金|偿付能力|分支机构,再保险公司,[body]…风险管理体系。完善与客户环境、社会、治理等各类风险状况相挂钩的保险费率浮动机制，引导客户强化自身风险管理。支持再保险公司开发巨灾模型，提升行业巨灾风险定价能力。开展绿色保险产品定价回溯，提高风险定价的有效性、充足性，强化再保资源支…,9978,已提取-可全文
RFN-3e11a9f1461b8973,T5资金运用与资产负债管理,关于保险公司、保险资产管理公司投资保险公司次级定期债务的通知（已废止）,保监发〔2004〕156号,nfra,BOUNDARY,低,,,保险公司|保险公司分支机构|保险资产管理,,[title]…关于保险公司、保险资产管理公司投资保险公司次级定期债务的通知（已废止） 保监发〔2004〕156号。各保险公司、保险资产管…,1151,已提取-可全文
RFN-3e281549d769f09f,T5资金运用与资产负债管理,中国银保监会关于保险资金投资银行资本补充债券有关事项的通知,银保监发[2020]17号,nfra,EXCLUDE,中,,,保险公司|保险机构|保险资产管理|保险资金,商业银行,[body]…限资本债券。 二、 政策性银行发行的二级资本债券和无固定期限资本债券， 比照准政府债券的投资规定执行。 三、 商业银行发行的二级资本债券和无固定期限资本债券纳入无担保非金融企业（公司）债券管理。 四、 保险资金投资的商业银行二级…,1578,已提取-可全文
RFN-3f113686e748a98f,T2产品与精算制度,人身保险新型产品信息披露管理暂行办法,N/A,nfra,INCLUDE,高,人身保险,,,,[title]…人身保险新型产品信息披露管理暂行办法 保监会令（2002）6号　2001年12月6日。第一章　总则。第一条　为促进人身…,7591,已提取-可全文
RFN-3f1d5683e4f0e25b,T4公司治理与股权关联交易,保险公司董事、监事和高级管理人员任职资格管理规定,中国银行保险监督管理委员会令[2021]6号,nfra,BOUNDARY,低,人身保险公司,,,再保险公司|财产保险公司,[body]…公司，是指经银保监会批准设立，并依法登记注册的商业保险公司。本规定所称同类保险公司，是指同属财产保险公司、同属人身保险公司或者同属再保险公司。专属机构高级管理人员任职资格管理，由银保监会另行规定。第四条 本规定所称高级管理人员，是指…,15878,已提取-可全文
RFN-3f22ec04be54ee21,T5资金运用与资产负债管理,中国银保监会办公厅关于资产支持计划和保险私募基金登记有关事项的通知,银保监办发[2021]103号,nfra,BOUNDARY,低,,,保险资产管理|保险资金,,[meta]…中国银保监会办公厅关于资产支持计划和保险私募基金登记有关事项的通知 各保险资产管理机构：为持续深入落实国务院“放管服”工作部署，进一步深化保险资金运用市场化改革，提高服务实体经济质效，银保监会…,2761,已提取-可全文
RFN-3f59c927761d781f,T3资本与偿付能力监管,国家金融监督管理总局关于印发《保险公司资本保证金管理办法》的通知,金规[2025]18号,nfra,EXCLUDE,中,,,保险公司|分支机构,商业银行,[body]…规定。第五条 保险公司应遵循“足额、安全、稳定”的原则提存资本保证金。 第六条 保险公司应当选择两家（含）以上商业银行作为资本保证金的存放银行。存放银行应符合以下条件：（一）上年末净资产不少于300亿元人民币；（二）上年末资本充…,4999,已提取-可全文
RFN-3fcbe695be898a0a,T2产品与精算制度,关于继续使用《中国人寿保险业经验生命表（1990—1993）》的通知（已废止）,保监发[1999]238号,nfra,INCLUDE,高,人寿保险|人寿保险公司|寿险,,,,[title]…关于继续使用《中国人寿保险业经验生命表（1990—1993）》的通知（已废止） 保监发[1999]238号。中国人寿保险公司、中国太平洋…,1703,已提取-可全文
RFN-3ff60475d67decf3,T1销售行为与消费者保护,关于加强保险代理业务管理有关问题的通知,保监发〔2001〕158号,nfra,BOUNDARY,低,,,保单|保险公司|分支机构,,[meta]…关于加强保险代理业务管理有关问题的通知 保监发〔2001〕158号。各保险公司，各保监办：。为规范保险代理机构的市场行为，明确保险公司对保险代理机构的管理责任，强化保险公司对保险代理业务的…,1803,已提取-可全文
RFN-404b1753c48bdcd1,T2产品与精算制度,关于加快业务结构调整进一步发挥保险保障功能的指导意见,保监发〔2009〕11号,nfra,INCLUDE,中,人身保险|人身保险公司|健康保险|养老保险|寿险,,,,[meta]…关于加快业务结构调整进一步发挥保险保障功能的指导意见 保监发〔2009〕11号。各人身保险公司:。为贯彻落实国务院办公厅《关于当前金融促进经济发展的若干意见》（国办发〔2008〕126号），贯彻落实全国保…,3276,已提取-可全文
RFN-40ac1a9fcbd30967,T7反洗钱与反恐怖融资,关于加强联合国安理会制裁决议名单管理和FATF公布的高风险国家或地区客户管理的风险提示,,,—,—,,,,,,0,未在五源cleaned收录
RFN-40addb7acdc76ffe,T2产品与精算制度,关于下发《分红保险管理暂行办法》、《投资连结保险管理暂行办法》的通知,保监发[2000]26号,nfra,BOUNDARY,低,人寿保险|人寿保险公司|人身保险|寿险,,,商业银行,[meta]…关于下发《分红保险管理暂行办法》、《投资连结保险管理暂行办法》的通知 保监发[2000]26号。中国人寿保险公司、中国太平洋保险公司、中国平安保险股份有限公司、新华人寿保险股份有限公司、泰康人寿保险股份有限公司、新疆兵团保…,7611,已提取-可全文
RFN-40e020d72572dc40,T2产品与精算制度,关于印发《保险业开发针对非典新产品的指导意见》的通知（已失效）,保监发〔2003〕66号,nfra,BOUNDARY,低,健康保险|寿险,,,,[body]…新产品时应如实宣传产品的保险责任和责任免除， 不得夸大责任和误导宣传。  四、 保险公司应加强健康保险、 定期寿险、 责任保险和利润损失保险等新产品的开发。  五、 保险公司开发的健康保险产品可以为被保险人的医疗和疾病给予经…,2323,已提取-可全文
RFN-411be32ea04122d2,T4公司治理与股权关联交易,国家金融监督管理总局关于修改部分规章的决定,国家金融监督管理总局令[2025]4号,nfra,EXCLUDE,中,,,保险公司|保险机构|保险资产管理|保险资金|分支机构,信托公司|商业银行|基金管理公司|金融资产|银行业,[meta]…决定 为做好有关监管制度与《中华人民共和国公司法》的衔接，国家金融监督管理总局决定对部分规章进行修改：一、在《信托公司管理办法》第四十三条增加一款，作为第二款：“信托公司按照公司章程规定，在董事会中设置由董事组成的审计委员会行使…,64919,已提取-可全文
RFN-41a49ac31606fda6,T3资本与偿付能力监管,关于保险公司设立分支机构适用偿付能力要求有关问题的通知（已废止）,保监厅发〔2005〕88号,nfra,BOUNDARY,低,,,保险公司|保险公司分支机构|偿付能力|分支机构,,[title]…关于保险公司设立分支机构适用偿付能力要求有关问题的通知（已废止） 保监厅发〔2005〕88号。各保监局：。近来，有的保监局…,700,已提取-可全文
RFN-41cbdba31797f083,T1销售行为与消费者保护,中国银行保险监督管理委员会关于印发《保险公估基本准则》的通知,银保监发〔2018〕21号,nfra,EXCLUDE,中,,,保单|保险公司|保险条款|保险理赔,保险中介机构|保险公估|公估机构,[title]…中国银行保险监督管理委员会关于印发《保险公估基本准则》的通知 银保监发〔2018〕21号。各保监局，中国保险行业协会，各保险集团(控股)公司、保险公司、保…,11593,已提取-可全文
RFN-41f2ecdea2c8e542,T5资金运用与资产负债管理,关于股票投资有关问题的通知,保监发〔2007〕44号,nfra,BOUNDARY,低,,,万能保险|保险产品|保险公司|保险机构|保险资产管理|投资连结保险,,[meta]…关于股票投资有关问题的通知 保监发〔2007〕44号。各保险公司、保险资产管理公司：。为进一步加强股票投资管理，改善资产配置，优化资产结构，分散投资风险，根据《保险机构投资者…,2044,已提取-可全文
RFN-4227deb76c02cc07,T2产品与精算制度,关于印发《精算报告》的通知,保监寿险〔2005〕8号,nfra,INCLUDE,中,人身保险|健康保险|养老保险公司|寿险,,,,[meta]…关于印发《精算报告》的通知 保监寿险〔2005〕8号。各寿险公司、各养老保险公司、各寿险公司筹备组、各养老保险公司筹备组、各健康保险公司筹备组：。…,1153,已提取-可全文
RFN-422d80f361d23f1f,T4公司治理与股权关联交易,关于印发《保险公司独立董事管理暂行办法》的通知,保监发〔2007〕22号,nfra,BOUNDARY,低,,,保险公司|保险资产管理,,[title]…关于印发《保险公司独立董事管理暂行办法》的通知 保监发〔2007〕22号。各保险公司、保险资产管理公司，各保监局：。为健全保险公…,8483,已提取-可全文
RFN-42c717ab9f0ed93d,T2产品与精算制度,中国保监会关于《中国人身保险业重大疾病经验发生率表（2006－2010）》 用于法定责任准备金评估有关事项的通知,保监寿险〔2013〕685号,nfra,INCLUDE,高,人寿保险|人身保险|人身保险公司|寿险,,,,[title]…中国保监会关于《中国人身保险业重大疾病经验发生率表（2006－2010）》 用于法定责任准备金评估有关事项的通知 保监寿险〔2013〕68…,4112,已提取-可全文
RFN-42dc9d802f918d45,T2产品与精算制度,关于《人身保险新型产品精算规定》实施若干问题的通知（已失效）,保监发[2003]77号,nfra,INCLUDE,高,人身保险|寿险,,,,[title]…关于《人身保险新型产品精算规定》实施若干问题的通知（已失效） （保监发[2003]77号 2003年6月6日）。各保监办，各…,1129,已提取-可全文
RFN-43787614b41f70d6,T2产品与精算制度,关于印发《关于推进保险合同纠纷快速处理机制试点工作的指导意见》的通知,保监法规〔2007〕427号,nfra,INCLUDE,中,人身保险,,,,[body]…请仲裁或提起诉讼；三是不涉及保险精算标准及生命表等问题；四是纠纷所涉保险金数额，财产保险不超过人民币20万元、人身保险不超过人民币10万元(各地区可以根据情况确定具体金额)。 七、处理机制的工作程序 被保险人在理赔过程中与参与处…,6451,已提取-可全文
RFN-43cedd2b26090af4,T5资金运用与资产负债管理,关于印发《保险资金参与股指期货交易规定》的通知,保监发〔2012〕95号,nfra,BOUNDARY,低,,,保险公司|保险机构|保险资产管理|保险资金,,[title]…关于印发《保险资金参与股指期货交易规定》的通知 保监发〔2012〕95号。各保险集团（控股）公司、保险公司、保险资产管理公司：。…,4723,已提取-可全文
RFN-4419b8953b7a48c6,T2产品与精算制度,关于《人身保险产品审批和备案管理办法》若干问题的通知,保监发〔2004〕76号,nfra,INCLUDE,高,人身保险|人身保险公司|寿险,,,,[title]…关于人身保险公司定期报送产品总结报告的通知 保监寿险〔2010〕360号。各人身保险公司：。为进一步加强产品动态监管，及时全面…,3547,已提取-可全文
RFN-449377d09304d076,T1销售行为与消费者保护,关于印发《保险公司服务评价管理办法（试行）》的通知,保监发〔2015〕75号,nfra,INCLUDE,中,人身保险|人身保险公司|养老保险公司,,,财产保险公司,[body]…年开展一次。评价结果由保险监管部门对外发布。 第二章  评价范围 第五条  开业满一个会计年度的财产保险公司、人身保险公司纳入服务评价范围。养老保险公司、农业保险公司、政策性保险公司视条件成熟逐步纳入评价范围。 第六条  服务评价范…,4787,已提取-可全文
RFN-44e55e516c2288f8,T2产品与精算制度,国家金融监督管理总局关于加强万能型人身保险监管有关事项的通知,金规[2025]14号,nfra,INCLUDE,高,人身保险|人身保险公司|寿险,,,金融资产,[title]…国家金融监督管理总局关于加强万能型人身保险监管有关事项的通知 各金融监管局，各人身保险公司：为加强万能型人身保险（以下简称万能险）监管，从严规范万能险经…,8179,已提取-可全文
RFN-4519bfab6d37349a,T5资金运用与资产负债管理,中国银保监会关于印发《个人税收递延型商业养老保险资金运用管理暂行办法》的通知,的通知银保监发〔2018〕32号,nfra,INCLUDE,高,养老保险,,,基金管理公司|证券公司|金融资产,[title]…中国银保监会关于印发《个人税收递延型商业养老保险资金运用管理暂行办法》的通知 中国银保监会关于印发《个人税收递延型商业中国银保监会关于印发《个人税收递延型商业…,12240,已提取-可全文
RFN-4550d27d7367058e,T3资本与偿付能力监管,中国银保监会关于实施保险公司偿付能力监管规则（Ⅱ）有关事项的通知,银保监发[2021]52号,nfra,INCLUDE,中,人身保险公司|寿险,,,财产保险公司,[body]…分的证据显示其应纳税所得额持续为正的趋势发生根本性、长期性逆转时，方可终止确认所得税准备。所得税准备以财务报表寿险合同负债剩余边际金额的10%作为其认可价值。（二）《保险公司偿付能力监管规则第1号：实际资本》第十三条关于投资…,7829,已提取-可全文
RFN-456cbc25ed7abfd4,T1销售行为与消费者保护,关于加强自媒体营销宣传行为管理的通知,银保监发〔2018〕27号,supp,EXCLUDE,中,,,保险产品|保险公司|保险公司分支机构|保险消费者|保险营销|保险销售|分支机构,保险中介机构,[body]…险监督管理委员会关于加强自媒体保险营销宣传行为管理的通知 银保监发〔2018〕27号 各保监局，各保险公司，各保险中介机构： 为贯彻落实规范金融营销宣传行为有关要求，加强自媒体保险营销宣传行为管控，治理保险销售误导，切实维护保险消费…,5305,已提取-可全文
RFN-45b8541b770ec99e,T6养老与健康保险专项,健康保险管理办法,N/A,nfra,INCLUDE,中,人寿保险公司|健康保险,,,再保险公司,[body]…管理。 第六条 保险公司开展不承担保险风险的委托管理服务，不适用本办法。 第二章 经营管理 第七条 依法成立的人寿保险公司、健康保险公司，经中国保监会核定，可以经营健康保险业务。 前款规定以外的保险公司，经中国保监会核定，可以经营短…,11196,已提取-可全文
RFN-45c3d6b1412b3e1e,T2产品与精算制度,保险公司总精算师管理办法,保监会令〔2007〕3号,nfra,INCLUDE,中,人寿保险公司|人身保险|健康保险|养老保险公司,,,财产保险公司,[body]…。  第三十二条 本办法由中国保监会负责解释。  第三十三条 本办法自 2008 年 1 月 1 日起施行。 人寿保险公司、 养老保险公司和健康保险公司自施行之日起适用本办法； 财产保险公司适用本办法的时间和具体适用办法由中国保监会…,7136,已提取-可全文
RFN-45f087c7eb811533,T2产品与精算制度,关于人身保险公司定期报送产品总结报告的通知,保监寿险〔2010〕360号,nfra,INCLUDE,高,人身保险|人身保险公司|寿险,,,,[title]…关于人身保险公司定期报送产品总结报告的通知 保监寿险〔2010〕360号。各人身保险公司：。为进一步加强产品动态监管，及时全面…,3547,已提取-可全文
RFN-4646e0fe770893e6,T5资金运用与资产负债管理,中国银行保险监督管理委员会关于发布保险资产负债管理季度报告XBRL分类标准及启用保险资产负债管理监管信息系统模块的通知,银保监发〔2018〕28号,nfra,BOUNDARY,低,人身保险公司,,,财产保险公司,[body]…附件:1.保险资产负债管理季度报告XBRL分类标准 2.财产保险公司资产负债管理量化评估表EXCEL表样 3.人身保险公司资产负债管理量化评估表EXCEL表样 4.财产保险公司资产负债管理量化评估表填报指引补充说明 5.人身保险公司…,2810,已提取-可全文
RFN-46e6b360a0b63c9b,T1销售行为与消费者保护,中国保监会关于进一步发挥保险经纪公司促进保险创新作用的意见,保监发〔2013〕16号,nfra,EXCLUDE,中,,,保单|保险产品|保险公司|保险条款|保险消费者,保险经纪公司,[title]…中国保监会关于进一步发挥保险经纪公司促进保险创新作用的意见 保监发〔2013〕16号。各保监局，各保险公司、保险经纪公司，中国保险行业协会，中国保…,1623,已提取-可全文
RFN-46e81a258a652e4f,T2产品与精算制度,人身保险新型产品信息披露管理办法,保监会令〔2009〕3号,nfra,INCLUDE,高,人身保险|人身保险公司,保险代理人,,商业银行,[title]…人身保险新型产品信息披露管理办法 中国保险监督管理委员会令。2009年第3号。《人身保险新型产品信息披露管理办法》已经…,14385,已提取-可全文
RFN-47dbf8f341cf0db8,T5资金运用与资产负债管理,中国银保监会关于印发《保险资产负债管理监管暂行办法》的通知,的通知银保监发〔2019〕32号,nfra,INCLUDE,中,人身保险公司|养老保险公司,,,再保险公司|财产保险公司,[body]…， 根据《中华人民共和国保险法》及有关规定， 制定本办法。 第二条 本办法所称保险公司是指于中国境内依法设立的人身保险公司和财产保险公司（以下简称“保险公司”）。 第三条 本办法所称保险资产负债管理， 是指保险公司在风险偏好和其他约…,7750,已提取-可全文
RFN-486bfdb11f7dfd67,T1销售行为与消费者保护,中国保监会办公厅关于保险销售、保险经纪、保险公估从业人员资格证书和执业证书有关事项的通知,保监厅发〔2013〕30号,nfra,EXCLUDE,中,,保险营销员|保险销售从业人员,保险公司|保险营销|保险销售,保险公估|保险经纪,[meta]…人员资格证书和执业证书有关事项的通知 保监厅发〔2013〕30号。各保监局，各保险公司、保险中介公司：。根据《保险销售从业人员监管办法》（保监会令2013第2号）、《保险经纪从业人员、保险公估从业人员监管办法》（保监会令2013第3号）…,2229,已提取-可全文
RFN-487f0efea49079f1,T3资本与偿付能力监管,关于保险公司提存资本保证金有关问题的通知,保监发〔2005〕4号,nfra,BOUNDARY,低,人寿保险,,,商业银行,[body]…管理委员会备案。  甲方：中国银行上海分行（盖章） 法定代表人（或授权委托人）：(签字) 日期：年月日 乙方：人寿保险股份有限公司(盖章) 法定代表人（或授权委托人）：(签字) 日期：年月日 保监发〔2005〕4号 各保险公司：…,4285,已提取-可全文
RFN-48e456a4007ee21b,T3资本与偿付能力监管,关于2005年度偿付能力报告编报工作有关问题的通知（已失效）,保监发〔2006〕1号,nfra,INCLUDE,中,人寿保险公司|养老保险公司,,,再保险公司|商业银行|证券公司|财产保险公司,[body]…数据编报确有困难的，可以不列报比较数据。 （五）监管指标报告。该部分包括监管指标报表和计算说明，财产保险公司和人寿保险公司的监管指标报表表样分别见本通知的附件8和附件9。 在监管指标报表的“是否超标”一栏内，若指标值在正常值范围内，…,7986,已提取-可全文
RFN-48fe1fe6cd6233c3,T5资金运用与资产负债管理,中国人民银行 中国银行保险监督管理委员会 中国证券监督管理委员会 国家外汇管理局关于规范金融机构资产管理业务的指导意见（银发〔2018〕106号）,银发[2018]106号,pbc,EXCLUDE,中,,,,金融资产|银行业,[body]…所列条件的债权类资产，为非标准化债权类资产，但存款（包括大额存单）以及债券逆回购、同业拆借等形成的资产除外。 银行业理财登记托管中心有限公司的理财直接融资工具，银行业信贷资产登记流转中心有限公司的信贷资产流转和收益权转让相关产…,3870,已提取-可全文
RFN-490663777515ebff,T5资金运用与资产负债管理,保险资金间接投资基础设施项目试点管理办法,N/A,nfra,EXCLUDE,中,,,保险公司|保险机构|保险资产管理|保险资金|偿付能力,商业银行|基金管理公司,[body]…计划约定，按照委托人意愿，为受益人利益，以自己的名义投资基础设施项目的信托投资公司、保险资产管理公司、产业投资基金管理公司或者其他专业管理机构。 受托人与托管人、独立监督人不得为同一人，且不得具有关联关系。 第二十九条受托人应当符合…,34397,已提取-可全文
