clean文号,clean标题,kind,matched_by,发文字号,建议,归属表文号,归属表标题,文件名称,文件来源,监管文件编号
,保险公司保险业务转让管理暂行办法,legacy,title,,同名异版，人工复核是否登记新版,N/A,保险公司保险业务转让管理暂行办法,,nfra,RFN-dfb8fd4c91ecf924
,保险许可证管理办法,legacy,title,,同名异版，人工复核是否登记新版,N/A,保险许可证管理办法,,nfra,RFN-a886b72c2e0c765d
中国银行业监督管理委员会令〔2004〕6号,银行保险监管统计管理办法,legacy,title,,同名异版，人工复核是否登记新版,N/A,银行保险监管统计管理办法,,nfra,RFN-646dc8a542fbd107
,保险统计管理暂行规定,legacy,title,,同名异版，人工复核是否登记新版,N/A,保险统计管理暂行规定,,nfra,RFN-343f71b90c38ef6c
中华人民共和国主席令第72号,中华人民共和国个人信息保护法,legacy,title,,同名异版，人工复核是否登记新版,,中华人民共和国个人信息保护法,,supp,RFN-0a354aa38c08bc67
中华人民共和国主席令第22号,中华人民共和国广告法,legacy,title,,同名异版，人工复核是否登记新版,,中华人民共和国广告法,,supp,RFN-74a3e0f2c57f7302
中华人民共和国主席令第84号,中华人民共和国数据安全法,legacy,title,,同名异版，人工复核是否登记新版,,中华人民共和国数据安全法,,supp,RFN-043b3b9f875acdaf
,中国银保监会2022年规章立法工作计划,legacy,title,,同名异版，人工复核是否登记新版,N/A,中国银保监会2022年规章立法工作计划,,nfra,RFN-a3cd627cf001d29f
,关于对取得国外精算师资格的拟任总精算师进行考核的通知（已失效）,legacy,title,,同名异版，人工复核是否登记新版,N/A,关于对取得国外精算师资格的拟任总精算师进行考核的通知（已失效）,,nfra,RFN-597cce52d6ec9560
平保发〔1999〕081号,关于保险条款中有关违法犯罪行为作为除外责任含义的批复,legacy,title,,同名异版，人工复核是否登记新版,保监复[1999]168号,关于保险条款中有关违法犯罪行为作为除外责任含义的批复,,nfra,RFN-1fde854770f62ca5
平保发〔1999〕144号,关于索赔期限有关问题的批复,legacy,title,,同名异版，人工复核是否登记新版,保监复[1999]256号,关于索赔期限有关问题的批复,,nfra,RFN-1875a1d068ecadf9
国办发〔2003〕3号,关于完善保险业参与新型农村合作医疗试点工作的若干指导意见（已废止）,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2005〕95号,关于完善保险业参与新型农村合作医疗试点工作的若干指导意见（已废止）,,nfra,RFN-3a158f66a8d6e6b6
保监发〔2004〕76号,关于投资连结型团体年金保险、万能型团体年金保险风险保额有关问题的批复,legacy,title,,同名异版，人工复核是否登记新版,保监寿险〔2005〕867号,关于投资连结型团体年金保险、万能型团体年金保险风险保额有关问题的批复,,nfra,RFN-89617aa386e8aaf9
公告2026年第10号,关于增值税法施行后增值税优惠政策衔接事项的公告,legacy,title,,同名异版，人工复核是否登记新版,财政部 税务总局公告2026年第10号,关于增值税法施行后增值税优惠政策衔接事项的公告,,mof,RFN-d9c806f538c7459e
公告2026年第9号,关于增值税征税具体范围有关事项的公告,legacy,title,,同名异版，人工复核是否登记新版,财政部 税务总局公告2026年第9号,关于增值税征税具体范围有关事项的公告,,mof,RFN-066a224049dcdc3c
保监会令〔2004〕4号,中国银保监会关于修改《中华人民共和国外资保险公司管理条例实施细则》的决定,legacy,title,,同名异版，人工复核是否登记新版,N/A,中国银保监会关于修改《中华人民共和国外资保险公司管理条例实施细则》的决定,,nfra,RFN-1a58e6f945058610
保监发〔2015〕102号,中国保监会办公厅关于启动中国保险业保单登记管理信息平台第三期建设的通知,legacy,title,,同名异版，人工复核是否登记新版,保监人身险〔2017〕209号,中国保监会办公厅关于启动中国保险业保单登记管理信息平台第三期建设的通知,,nfra,RFN-3892677cdf5d7ecc
中国银行业监督管理委员会中国证券监督管理委员会中国保险监督管理委员会公告〔2017〕14号,国家税务总局 财政部 中国人民银行 银监会 证监会 保监会关于发布《非居民金融账户涉税信息尽职调查管理办法》的公告,legacy,title,,同名异版，人工复核是否登记新版,N/A,国家税务总局 财政部 中国人民银行 银监会 证监会 保监会关于发布《非居民金融账户涉税信息尽职调查管理办法》的公告,,nfra,RFN-afb646fee1fa0c25
国发〔2014〕29号,中国保监会关于印发《中国保险业发展“十三五”规划纲要》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2016〕74号,中国保监会关于印发《中国保险业发展“十三五”规划纲要》的通知,,nfra,RFN-8d034d52a8baa74e
国发〔2015〕13号,中国保监会关于印发《中国保险业标准化“十三五”规划》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2016〕73号,中国保监会关于印发《中国保险业标准化“十三五”规划》的通知,,nfra,RFN-209a68b6d192b73d
国发〔2014〕29号,中国保监会办公厅、北京市金融工作局、北京市石景山区人民政府关于印发《关于加快推动北京保险产业园创新发展的实施办法》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监厅发〔2015〕83号,中国保监会办公厅、北京市金融工作局、北京市石景山区人民政府关于印发《关于加快推动北京保险产业园创新发展的实施办法》的通知,,nfra,RFN-0954ada2061d54e9
国发〔2014〕29号,中国保监会 天津市人民政府关于加强保险业服务天津自贸试验区建设和京津冀协同发展等重大国家战略的意见,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2015〕65号,中国保监会 天津市人民政府关于加强保险业服务天津自贸试验区建设和京津冀协同发展等重大国家战略的意见,,nfra,RFN-90253ef97fd4f33e
国发〔2012〕21号,中国保监会关于保险业对口支援江西省赣州市定南县等原中央苏区振兴发展的指导意见,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2014〕23号,中国保监会关于保险业对口支援江西省赣州市定南县等原中央苏区振兴发展的指导意见,,nfra,RFN-bab6f1d840e8764e
国办发〔2013〕67号,中国保监会关于保险业支持经济结构调整和转型升级的指导意见,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2013〕69号,中国保监会关于保险业支持经济结构调整和转型升级的指导意见,,nfra,RFN-091f79fe4e660f39
国发〔2006〕23号,关于印发《中国保险业发展“十二五”规划纲要》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2011〕47号,关于印发《中国保险业发展“十二五”规划纲要》的通知,,nfra,RFN-c906d3c0876f1680
国发〔2009〕30号,关于保险业支持文化产业发展有关工作的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2010〕109号,关于保险业支持文化产业发展有关工作的通知,,nfra,RFN-5b2fa0008616d1cf
国发〔2010〕21号,中国保监会关于第五批取消行政审批项目的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2010〕75号,中国保监会关于第五批取消行政审批项目的通知,,nfra,RFN-8615ad49a2a4ff13
国发〔2009〕12号,关于保险业深入贯彻医改意见 积极参与多层次医疗保障体系建设的意见,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2009〕71号,关于保险业深入贯彻医改意见 积极参与多层次医疗保障体系建设的意见,,nfra,RFN-f76b806101d71f4a
国发〔2006〕20号,关于加快天津滨海新区保险改革试验区创新发展的意见,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2007〕110号,关于加快天津滨海新区保险改革试验区创新发展的意见,,nfra,RFN-28592205e5bf65d0
国发〔2006〕23号,关于印发《关于推进保险合同纠纷快速处理机制试点工作的指导意见》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监法规〔2007〕427号,关于印发《关于推进保险合同纠纷快速处理机制试点工作的指导意见》的通知,,nfra,RFN-43787614b41f70d6
,保险代理机构管理规定（已废止）,legacy,title,,同名异版，人工复核是否登记新版,保监会令[2001]4号,保险代理机构管理规定（已废止）,,nfra,RFN-d0c1746c53b0665a
国办发〔2003〕61号,关于印发《中国保监会关于加强保险行业协会建设的指导意见》的通知（已废止）,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2004〕17号,关于印发《中国保监会关于加强保险行业协会建设的指导意见》的通知（已废止）,,nfra,RFN-d63780aab73653cc
中国证券监督管理委员会令〔2022〕第1号,中国人民银行 中国银行保险监督管理委员会 中国证券监督管理委员会令〔2022〕第1号（金融机构客户尽职调查和客户身份资料及交易记录保存管理办法）,legacy,title,,同名异版，人工复核是否登记新版,〔2022〕第1号,中国人民银行 中国银行保险监督管理委员会 中国证券监督管理委员会令〔2022〕第1号（金融机构客户尽职调查和客户身份资料及交易记录保存管理办法）,,pbc,RFN-2d7c38ba49a7bec5
公告2025年第15号,关于保险合同准则转换有关企业所得税处理事项的公告,legacy,title,,同名异版，人工复核是否登记新版,财政部 税务总局公告2025年第15号,关于保险合同准则转换有关企业所得税处理事项的公告,,mof,RFN-f8f89bbed0acaedf
,科技部 金融监管总局 工业和信息化部 国家知识产权局印发《关于加快推动科技保险高质量发展 有力支撑高水平科技自立自强的若干意见》的通知,legacy,title,,同名异版，人工复核是否登记新版,N/A,科技部 金融监管总局 工业和信息化部 国家知识产权局印发《关于加快推动科技保险高质量发展 有力支撑高水平科技自立自强的若干意见》的通知,,nfra,RFN-fd23ced41244be9d
证监会公告〔2020〕12号,中国证券监督管理委员会、财政部、中国人民银行、中国银行保险监督管理委员会关于商业银行、保险机构参与中国金融期货交易所国债期货交易的公告,legacy,title,,同名异版，人工复核是否登记新版,保险机构参与中国金融期货证监会公告〔2020〕12号,中国证券监督管理委员会、财政部、中国人民银行、中国银行保险监督管理委员会关于商业银行、保险机构参与中国金融期货交易所国债期货交易的公告,,nfra,RFN-0bab2c662362a3b1
中国银行保险监督管理委员会令〔2019〕1号,银行业金融机构反洗钱和反恐怖融资管理办法（中国银行保险监督管理委员会令2019年第1号）,legacy,title,,同名异版，人工复核是否登记新版,N/A,银行业金融机构反洗钱和反恐怖融资管理办法（中国银行保险监督管理委员会令2019年第1号）,,nfra,RFN-ba99e1d3cdba2d2f
中华人民共和国国务院令第247号,中国银保监会关于银行业和保险业做好扫黑除恶专项斗争有关工作的通知,legacy,title,,同名异版，人工复核是否登记新版,中国银保监会关于银行业和保险业做好扫黑除恶专项斗争有关工作的通知银保监发〔2018〕45号,中国银保监会关于银行业和保险业做好扫黑除恶专项斗争有关工作的通知,,nfra,RFN-635f918856e44fe0
国办发〔2015〕81号,中国保监会关于印发《中国保监会关于加强保险消费风险提示工作的意见》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2017〕66号,中国保监会关于印发《中国保监会关于加强保险消费风险提示工作的意见》的通知,,nfra,RFN-3678cb752c5eda74
国发〔2015〕13号,中国保监会关于印发《深化保险标准化工作改革方案》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2016〕15号,中国保监会关于印发《深化保险标准化工作改革方案》的通知,,nfra,RFN-7d3684c4a1ea4c21
国发〔2014〕29号,中国保监会关于印发《保险业功能服务指标体系》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2015〕129号,中国保监会关于印发《保险业功能服务指标体系》的通知,,nfra,RFN-dcdc09f305205cdb
中国保险监督管理委员会令〔2010〕5号,中国保险监督管理委员会行政处罚程序规定（2015年修订）,legacy,title,,同名异版，人工复核是否登记新版,N/A,中国保险监督管理委员会行政处罚程序规定（2015年修订）,,nfra,RFN-b7c9a94d4eb64cf7
保监会令〔2015〕2号,中国保险监督管理委员会关于修改《中国保险监督管理委员会行政处罚程序规定》的决定,legacy,title,,同名异版，人工复核是否登记新版,N/A,中国保险监督管理委员会关于修改《中国保险监督管理委员会行政处罚程序规定》的决定,,nfra,RFN-01e25fd1bd2c5bc5
国发〔2007〕35号,关于开展第二次保险业经济普查的通知（已失效）,legacy,title,,同名异版，人工复核是否登记新版,国经普办字〔2008〕16号,关于开展第二次保险业经济普查的通知（已失效）,,nfra,RFN-950d630b983fa780
国发〔2006〕20号,关于印发《天津滨海新区补充养老保险试点实施细则》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监厅发〔2008〕32号,关于印发《天津滨海新区补充养老保险试点实施细则》的通知,,nfra,RFN-ddef688f33867b98
国发〔2006〕23号,关于保险业新会计准则培训有关事项的通知（已失效）,legacy,title,,同名异版，人工复核是否登记新版,保监财会〔2006〕1142号,关于保险业新会计准则培训有关事项的通知（已失效）,,nfra,RFN-9d59496ff1f52318
,关于报送保险业商业贿赂案件查处情况的通知（已废止）,legacy,title,,同名异版，人工复核是否登记新版,N/A,关于报送保险业商业贿赂案件查处情况的通知（已废止）,,nfra,RFN-38217405ecdde580
,保险资金间接投资基础设施项目试点管理办法,legacy,title,,同名异版，人工复核是否登记新版,N/A,保险资金间接投资基础设施项目试点管理办法,,nfra,RFN-490663777515ebff
发改〔2005〕272号,关于印发《保险公司开业验收指引（试行）》的通知（已废止）,legacy,title,,同名异版，人工复核是否登记新版,保监发改〔2005〕272号,关于印发《保险公司开业验收指引（试行）》的通知（已废止）,,nfra,RFN-b99f3e470b7d541f
,保险经纪机构管理规定（已废止）,legacy,title,,同名异版，人工复核是否登记新版,保监会令[2001]5号,保险经纪机构管理规定（已废止）,,nfra,RFN-618dc2b29e8a780c
国办发〔2003〕61号,关于就商业保险合同监管主体问题做好有关协调工作的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2004〕32号,关于就商业保险合同监管主体问题做好有关协调工作的通知,,nfra,RFN-1d04d79e9ca9f279
国办发〔1996〕22号,关于在保险条款中设立仲裁条款的通知（已废止）,legacy,title,,同名异版，人工复核是否登记新版,保监发[1999]147号,关于在保险条款中设立仲裁条款的通知（已废止）,,nfra,RFN-e6bde4bd4b9b74a5
保监发〔2005〕49号,关于违规受处罚的保险公司申请设立营销服务部有关问题的批复,legacy,title,,同名异版，人工复核是否登记新版,保监法规〔2005〕318号,关于违规受处罚的保险公司申请设立营销服务部有关问题的批复,,nfra,RFN-8e37d9471a591f1d
,中国银行业监督管理委员会关于香港和澳门银行内地分行从事代理保险业务的公告,legacy,title,,同名异版，人工复核是否登记新版,N/A,中国银行业监督管理委员会关于香港和澳门银行内地分行从事代理保险业务的公告,,nfra,RFN-5b880a50f3d380a3
银办发〔2016〕270号,中国人民银行办公厅 保监会办公厅关于投保人与被保险人、受益人关系确认有关事项的通知(银办发〔2016〕270号),legacy,title,,同名异版，人工复核是否登记新版,〔2016〕270号,中国人民银行办公厅 保监会办公厅关于投保人与被保险人、受益人关系确认有关事项的通知(银办发〔2016〕270号),,pbc,RFN-85c3f92ede073430
,,,absent,保监会令〔2018〕3号,,,,保险经纪人监管规定,,RFN-94a1e55c54595567
,,,absent,保监会令〔2018〕2号,,,,保险公估人监管规定,,RFN-fdd4c59c39fd50f8
,,,absent,人力资源社会保障部 财政部 国家税务总局 银保监会 证监会令2022年第1号（人社部发〔2022〕70号）,,,,个人养老金实施办法,,RFN-baaf0465f25ad2db
,,,absent,人民银行等八部门公告〔2026〕第9号,,,,金融产品网络营销管理办法,,RFN-f58d1c0e8ee56049
,,,absent,中保协发[2009]161号,,,,关于推荐使用《人身保险产品条款部分条目示范写法》的通知,,RFN-74b1a1c1af6fe254
,,,absent,保监发[2010]33号,,,,关于普通型定期寿险、普通型终身寿险费率厘定等有关问题的通知,,RFN-01f0ad6d44e1fe03
,,,absent,,,,,《重大疾病保险的疾病定义使用规范（2020年修订版）》,,RFN-852c15ce86dd9c4d
,,,absent,人身险部函〔2021〕31号,,,,中国银行保险监督管理委员会人身保险监管部关于印发人身保险产品“负面清单”（2021版）的通知,,RFN-db229545ea3af41c
,,,absent,金办便函〔2024〕1001号,,,,国家金融监督管理总局办公厅关于平稳有序做好人身保险产品切换有关工作的通知,,RFN-8faaef0d177f0833
,,,absent,金寿险函〔2025〕374号,,,,《关于分红险分红水平监管意见的函》,,RFN-b1cbe84836cab870
,,,absent,N/A,,,,最高人民法院关于适用《中华人民共和国保险法》若干问题的解释（二）,,RFN-0e6d9c69e4edbc7d
,,,absent,N/A,,,,最高人民法院关于适用《中华人民共和国保险法》若干问题的解释（三）,,RFN-95cbe708c5480faa
,,,absent,中保协 2026-03-27,,,,保险产品适当性管理自律规范,,RFN-0342cae3577bd20a
,,,absent,财税[2001]118号,,,,财政部 国家税务总局关于人寿保险业务免征营业税若干问题的通知（部分失效）,,RFN-e606f42bed9a08df
,,,absent,保监会令〔2004〕10号,,,,保险公司次级定期债务管理办法,,RFN-28384a7adbcc5554
,,,absent,N/A,,,,中华人民共和国增值税法,,RFN-0a88218a43d6dc15
,,,absent,保监厅函[2008]280号,,,,关于外资保险公司关联交易范围界定问题的复函,,RFN-5c48b19fb517126a
,,,absent,保监发改[2010]1199号,,,,关于重大关联交易认定有关事宜的复函,,RFN-b49620ff58101c1f
,,,absent,保监发[2014]96号,,,,中国保监会关于印发《保险集团并表监管指引》的通知,,RFN-2c5e83fa905aa605
,,,absent,银反洗发[2018]19号,,,,中国人民反洗钱局关于印发《法人金融机构洗钱和恐怖融资风险管理指引（试行）》的通知,,RFN-b34fbb60ffbcad24
,,,absent,资金部函〔2018〕34,,,,关于加强保险资金股权投资事后报告监管机制有关事项的通知,,RFN-5e20e46825f7932a
,,,absent,资金部函（2018）35号,,,,关于印发《保险资金股权投资信息报告监管口径》的通知,,RFN-59ace91697b74b57
,,,absent,保监会令〔2018〕5号,,,,保险公司股权管理办法,,RFN-af8219392e2fe4c6
,,,absent,中保协发〔2022〕12号,,,,中国保险行业协会关于印发《保险公司股东权利义务手册》的通知,,RFN-9e622ad84f805d10
,,,absent,中国保险行业协会　2024年1月,,,,保险公司资金运用关联交易管理制度标准,,RFN-905dd958d5b846cb
,,,absent,中国保险行业协会　2024年1月,,,,保险机构资金运用关联交易自律规则,,RFN-12ec06650d1a1479
,,,absent,（中国保险资产管理业协会　2023年4月）,,,,保险资产管理业从业人员职业操守和行为准则,,RFN-4ee952d21944ab4d
,,,absent,（中国保险资产管理业协会2023年4月）,,,,中国保险资产管理业协会自律监督检查工作暂行办法,,RFN-c0276de758b9f668
,,,absent,（中国保险资产管理业协会2023年4月）,,,,中国保险资产管理业协会自律评价管理办法,,RFN-52aa9120bc5387cc
,,,absent,中国人民银行公开市场业务公告（〔2024〕第6号）,,,,中国人民银行公开市场业务公告〔2024〕第6号—关于接受符合条件的证券、基金、保险公司申报的公告,,RFN-e4fa67e6508db993
,,,absent,,,,,保险公司投资管理能力信息披露自律管理准则(试行),,RFN-3ca8855e25c015c3
,,,absent,N/A,,,,中华人民共和国证券法,,RFN-6d60dc2df66d2260
,,,absent,N/A,,,,保险资金运用管理暂行办法,,RFN-83b739eb62cef7fc
,,,absent,,,,,关于保险公司开展个人养老金业务有关工作提示,,RFN-81935050acb430e5
,,,absent,银发[2007]34号,,,,中国人民银行关于印发《保险业大额交易和可疑交易报告要素释义》和《保险业大额交易和可疑交易报告数据报送接口规范[试行]》的通知,,RFN-7ec32a236e309d62
,,,absent,银发[2008]248号,,,,中国人民银行关于印发银行业、证券期货业、保险业大额交易和可疑交易报告数据报送接口规范的通知,,RFN-26b5064bb2b4a3bd
,,,absent,银发[2009]123号,,,,中国人民银行关于进一步严格大额交易和可疑交易报告报送情况的通报,,RFN-51f149a2c6b49e3f
,,,absent,银办发[2009]151号,,,,中国人民银行办公厅关于进一步加强银行卡业务反洗钱工作的通知,,RFN-ce7a37583a65d386
,,,absent,银发[2010]48号,,,,中国人民银行关于明确可疑交易报告制度有关执行问题的通知,,RFN-49745450d2099735
,,,absent,银办发[2014]62号,,,,中国人民银行办公厅关于进一步加强金融机构和支付机构反恐怖融资工作的通知,,RFN-c6521cc354fb98c3
,,,absent,中国人民银行 公安部 国家安全部令[2014]第1号,,,,涉及恐怖活动资产冻结管理办法,,RFN-136eb6fb5aa95c8c
,,,absent,中国人民银行令〔2016〕第3号,,,,金融机构大额交易和可疑交易报告管理办法,,RFN-6ddcdb7ddcef4f2c
,,,absent,保监会令〔2017〕1号,,,,中国保险监督管理委员会行政处罚程序规定,,RFN-1540c2ebea0b9c67
,,,absent,N/A,,,,中华人民共和国反洗钱法,,RFN-8ea5ba2763e1a220
,,,absent,,,,,行政处罚法、行政许可法、治安管理处罚法,,RFN-cfaaba2b946ea10a
,,,absent,国家工商行政管理局令第60号,,,,关于禁止商业贿赂行为的暂行规定,,RFN-70c6d2f88efc9684
,,,absent,二OO八年十一月二十日下发,,,,最高人民法院最高人民检察院关于印发《关于办理商业贿赂刑事案件适用法律若干问题的意见》的通知,,RFN-5e4d297bde39f562
,,,absent,,,,,关于加强联合国安理会制裁决议名单管理和FATF公布的高风险国家或地区客户管理的风险提示,,RFN-40ac1a9fcbd30967
,,,absent,N/A,,,,中华人民共和国反垄断法,,RFN-cffdc0fb0ba21a2c
,,,absent,N/A,,,,中华人民共和国反不正当竞争法,,RFN-8b8a8d5a0cf8dbb0
,,,absent,N/A,,,,中华人民共和国刑法,,RFN-a0259cf4cfd30d55
,,,absent,保监会令〔2004〕3号,,,,保险公司管理规定,,RFN-cc72e22499129058
,,,absent,保监会令〔2004〕7号,,,,中国保险监督管理委员会派出机构监管职责规定,,RFN-95f1d09ecebd3704
,,,absent,保监发[2005]23号,,,,转发中国人民银行关于商业银行对外资保险公司办理人民币协议存款业务的利率等相关问题的通知,,RFN-a9fedb44d9d78bda
,,,absent,保监法规[2007]1497号,,,,关于保险公司地市级分支机构命名等有关问题的批复,,RFN-012051479f38bb44
,,,absent,中国保险监督管理委员会令2015年第3号,,,,保险公司管理规定（2015修订）,,RFN-6607550074f51efa
,,,absent,金办发[2024]25号,,,,国家金融监督管理总局办公厅关于银行保险机构侵害个人信息权益乱象专项整治发现主要问题的通报,,RFN-70c43b7d3cf54999
,,,absent,N/A,,,,中国保险监督管理委员会行政许可实施办法,,RFN-9c05fe4a81dd1270
,,,absent,N/A,,,,保险保障基金管理办法（已失效）,,RFN-9334fdf16b283e1a
,,,absent,保监发[2000]2号,,,,保险公司管理规定（已失效）,,RFN-7c332846273ed3ae
,,,absent,保监会令〔2001〕3号,,,,保险公估机构监管规定,,RFN-935ddd95dd623e33
,,,absent,保监会令〔2004〕15号,,,,保险经纪机构监管规定,,RFN-6299b41ed313d187
,,,absent,保监会令〔2004〕14号,,,,保险专业代理机构监管规定,,RFN-213ec1fa3be1cc65
